Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,21.895190352834328,20.4,20.434173610680966,21.828218888313537,13.0,-2.03291975218932,2.0328873975125334,21.961505618713099,21.96148445222713,6.6,-2.0028271339642877,-0.9469969322406615,21.828218888313537,20.434173610680966,6.6,2.022645382871103,-2.0239977517993057,20.399999999999996,21.895190360360379,21.895128492994308 
 01/25  00:02:00,21.895128492994308,20.4,20.43417219683124,21.828159799252977,13.0,-2.0328356450971789,2.03280329175893,21.961441015179806,21.961419849569585,6.6,-2.0027442700375466,-0.9469577510316741,21.828159799252977,20.43417219683124,6.6,2.022561700898161,-2.0239140138734159,20.4,21.895128500519769,21.895066635713638 
 01/25  00:03:00,21.895066635713638,20.4,20.43417078304002,21.82810071263718,13.0,-2.0327515414848138,2.0327191894849889,21.961376414319397,21.961355249584856,6.6,-2.0026614095397159,-0.9469185726891592,21.82810071263718,20.43417078304002,6.6,2.0224780223858898,-2.0238302794097935,20.4,21.895066643238505,21.89500478099221 
 01/25  00:04:00,21.89500478099221,20.4,20.43416936930729,21.828041628466065,13.0,-2.0326674413522247,2.03263509069071,21.96131181613174,21.96129065227287,6.6,-2.0025785524700447,-0.9468793949802858,21.828041628466065,20.43416936930729,6.6,2.022394347333645,-2.023746548408633,20.4,21.89500478851648,21.89494292882992 
 01/25  00:05:00,21.89494292882992,20.4,20.434167955633048,21.827982546739514,13.0,-2.0325833446987779,2.0325509953759965,21.961247220616746,21.96122605763349,6.6,-2.002495698828963,-0.9468402195427408,21.827982546739514,20.434167955633048,6.6,2.0223106757416424,-2.0236628208702278,20.4,21.894942936353595,21.894881079226676 
 01/25  00:06:00,21.894881079226676,20.4,20.434166542017289,21.8279234674574,13.0,-2.032499251524473,2.0324669035402298,21.961182627774286,21.96116146566662,6.6,-2.0024128486155035,-0.9468010452122472,21.8279234674574,20.434166542017289,6.6,2.022227007610954,-2.023579096795813,20.4,21.894881086749757,21.894819232182369 
 01/25  00:07:00,21.894819232182369,20.4,20.43416512846001,21.8278643906196,13.0,-2.032415161829099,2.032382815182402,21.961118037604263,21.96109687637214,6.6,-2.0023300018298819,-0.9467618732269549,21.8278643906196,20.43416512846001,6.6,2.0221433429421169,-2.023495376186364,20.4,21.894819239704856,21.89475738769689 
 01/25  00:08:00,21.89475738769689,20.4,20.434163714961178,21.82780531622598,13.0,-2.0323310756105426,2.0322987303017334,21.96105345010655,21.96103228974995,6.6,-2.0022471584715615,-0.9467227018919513,21.82780531622598,20.434163714961178,6.6,2.0220596817358817,-2.0234116590422386,20.399999999999996,21.894757395218787,21.894695545770135 
 01/25  00:09:00,21.894695545770135,20.4,20.434162301520798,21.827746244276438,13.0,-2.032246992869437,2.0322146488980934,21.960988865281057,21.960967705799928,6.6,-2.0021643185410786,-0.9466835331081603,21.827746244276438,20.434162301520798,6.6,2.0219760239920339,-2.023327945362786,20.399999999999996,21.89469555329143,21.894633706401988 
 01/25  00:10:00,21.894633706401988,20.4,20.434160888138878,21.8276871747709,13.0,-2.0321629136057837,2.0321305709721324,21.960924283127654,21.96090312452197,6.6,-2.0020814820378969,-0.9466443653148892,21.8276871747709,20.434160888138878,6.6,2.021892369709393,-2.023244235146609,20.4,21.894633713922695,21.894571869592338 
 01/25  00:11:00,21.894571869592338,20.4,20.434159474815428,21.827628107709299,13.0,-2.0320788378202154,2.032046496524598,21.960859703646244,21.960838545915963,6.6,-2.0019986489624457,-0.946605199348669,21.827628107709299,20.434159474815428,6.6,2.021808718886779,-2.0231605283917557,20.399999999999996,21.894571877112449,21.89451003534109 
 01/25  00:12:00,21.89451003534109,20.4,20.43415806155045,21.82756904309158,13.0,-2.0319947655133667,2.0319624255557184,21.96079512683671,21.960773969981799,6.6,-2.0019158193141877,-0.9465660351116968,21.82756904309158,20.43415806155045,6.6,2.0217250715227976,-2.023076825096666,20.399999999999996,21.89451004286061,21.894448203648147 
 01/25  00:13:00,21.894448203648147,20.4,20.434156648343945,21.827509980917694,13.0,-2.031910696684814,2.0318783580654928,21.96073055269894,21.960709396719368,6.6,-2.0018329930924807,-0.9465268721087123,21.827509980917694,20.434156648343945,6.6,2.021641427616053,-2.02299312526017,20.4,21.89444821116707,21.89438637451341 
 01/25  00:14:00,21.89438637451341,20.4,20.434155235195929,21.827450921187574,13.0,-2.0318266313354047,2.031794294053954,21.960665981232837,21.960644826128548,6.6,-2.00175017029743,-0.946487711443646,21.827450921187574,20.434155235195929,6.6,2.02155778716558,-2.022909428881486,20.400000000000003,21.894386382031738,21.894324547936795 
 01/25  00:15:00,21.894324547936795,20.4,20.434153822106397,21.827391863901139,13.0,-2.0317425694651369,2.031710233522111,21.960601412438267,21.960580258209249,6.6,-2.0016673509276425,-0.9464485515516427,21.827391863901139,20.434153822106397,6.6,2.0214741501712716,-2.0228257359607126,20.4,21.894324555454526,21.8942627239182 
 01/25  00:16:00,21.8942627239182,20.4,20.434152409075354,21.82733280905828,13.0,-2.031658511074645,2.03162617647032,21.96053684631514,21.960515692961338,6.6,-2.001584534983439,-0.9464093939382511,21.82733280905828,20.434152409075354,6.6,2.0213905166333414,-2.0227420464988898,20.399999999999996,21.894262731435338,21.894200902457525 
 01/25  00:17:00,21.894200902457525,20.4,20.434150996102809,21.82727375665885,13.0,-2.031574456164141,2.031542122898289,21.960472282863337,21.960451130384727,6.6,-2.0015017224641764,-0.9463702374402347,21.82727375665885,20.434150996102809,6.6,2.0213068865531849,-2.0226583604979364,20.4,21.894200909974069,21.894139083554668 
 01/25  00:18:00,21.894139083554668,20.4,20.434149583188764,21.827214706702699,13.0,-2.031490404733202,2.0314580728059528,21.96040772208275,21.960386570479288,6.6,-2.001418913369747,-0.9463310831594427,21.827214706702699,20.434149583188764,6.6,2.0212232599324118,-2.022574677960225,20.4,21.89413909107061,21.89407726720952 
 01/25  00:19:00,21.89407726720952,20.4,20.434148170333218,21.827155659189669,13.0,-2.0314063567824616,2.0313740261937016,21.960343163973265,21.96032201324492,6.6,-2.0013361076998295,-0.9462919299357601,21.827155659189669,20.434148170333218,6.6,2.0211396367724165,-2.022490998886829,20.399999999999996,21.89407727472487,21.894015453421969 
 01/25  00:20:00,21.894015453421969,20.4,20.43414675753617,21.827096614119627,13.0,-2.03132231231192,2.0312899830619908,21.96027860853477,21.960257458681509,6.6,-2.0012533054548515,-0.9462527786036372,21.827096614119627,20.43414675753617,6.6,2.0210560170736286,-2.022407323277294,20.4,21.894015460936733,21.893953642191894 
 01/25  00:21:00,21.893953642191894,20.4,20.43414534479764,21.8270375714925,13.0,-2.031238271322,2.03120594341095,21.960214055767165,21.960192906788945,6.6,-2.001170506634922,-0.9462136286688547,21.8270375714925,20.43414534479764,6.6,2.02097240083476,-2.0223236511298636,20.399999999999996,21.893953649706057,21.893891833519189 
 01/25  00:22:00,21.893891833519189,20.4,20.43414393211761,21.82697853130823,13.0,-2.0311542338127017,2.031121907240515,21.96014950567033,21.96012835756711,6.6,-2.0010877112399334,-0.9461744809658631,21.82697853130823,20.43414393211761,6.6,2.020888788054416,-2.022239982441871,20.399999999999996,21.893891841032759,21.89383002740374 
 01/25  00:23:00,21.89383002740374,20.4,20.434142519496086,21.826919493566775,13.0,-2.031070199783391,2.031037874549872,21.960084958244154,21.960063811015915,6.6,-2.001004919269777,-0.9461353339350099,21.826919493566775,20.434142519496086,6.6,2.020805178730559,-2.022156317211659,20.4,21.893830034916719,21.893768223845457 
 01/25  00:24:00,21.893768223845457,20.4,20.434141106933049,21.82686045826806,13.0,-2.030986169233222,2.030953845338144,21.960020413488537,21.959999267135225,6.6,-2.000922130724455,-0.946096189341959,21.82686045826806,20.434141106933049,6.6,2.0207215728622218,-2.022072655438382,20.4,21.89376823135784,21.893706422844237 
