Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.400003479296207,20.4,20.40000009036006,20.400003364393826,13.0,-0.000005375339294914738,0.000005368948842715326,20.40000350637823,20.400003517211038,2.0,-2.4785468121990568e-7,0.00004957091959659011,20.400003364393826,20.40000009036006,6.6,0.0000034702357482956357,-0.0000037080474519370907,20.4,20.400003479296207,20.400003468580214 
 01/25  00:02:00,20.400003468580214,20.4,20.40000009008159,20.40000335403211,13.0,-0.000005358773742727862,0.000005352402343987705,20.400003495578799,20.40000350637823,2.0,-2.470910471856769e-7,0.000049418213078752169,20.40000335403211,20.40000009008159,6.6,0.000003459536027889953,-0.0000036966121249406568,20.399999999999996,20.40000346858021,20.40000345789727 
 01/25  00:03:00,20.40000345789727,20.4,20.400000089803958,20.400003343702435,13.0,-0.000005342258067685179,0.000005335905950005326,20.400003484812648,20.400003495578799,2.0,-2.463295265897614e-7,0.00004926590609829873,20.400003343702435,20.400000089803958,6.6,0.000003448866780013304,-0.0000036852096700386024,20.4,20.40000345789727,20.400003447247284 
 01/25  00:04:00,20.400003447247284,20.4,20.400000089527166,20.40000333340469,13.0,-0.000005325792058442857,0.000005319459335623832,20.400003474079687,20.400003484812648,2.0,-2.4557015194659477e-7,0.000049114015302620838,20.40000333340469,20.400000089527166,6.6,0.000003438228433856238,-0.000003673840672490769,20.4,20.400003447247284,20.40000343663015 
 01/25  00:05:00,20.40000343663015,20.4,20.40000008925121,20.40000332313875,13.0,-0.0000053093761376885599,0.0000053030622407277409,20.400003463379819,20.400003474079687,2.0,-2.448129557706125e-7,0.00004896260728128255,20.40000332313875,20.40000008925121,6.6,0.0000034276218477998548,-0.000003662506432874579,20.399999999999996,20.40000343663015,20.40000342604578 
 01/25  00:06:00,20.40000342604578,20.4,20.40000008897608,20.400003312904479,13.0,-0.0000052930092487031288,0.000005286714405201564,20.40000345271295,20.400003463379819,2.0,-2.440579380618147e-7,0.00004881158214993776,20.400003312904479,20.40000008897608,6.6,0.0000034170484167134415,-0.000003651208544397377,20.399999999999996,20.400003426045779,20.400003415494067 
 01/25  00:07:00,20.400003415494067,20.4,20.400000088701775,20.40000330270172,13.0,-0.000005276691391486565,0.000005270415536415384,20.400003442078984,20.40000345271295,2.0,-2.4330516384907247e-7,0.000048661039792932577,20.40000330270172,20.400000088701775,6.6,0.000003406509320871009,-0.0000036399483726654578,20.4,20.400003415494067,20.4000034049749 
 01/25  00:08:00,20.4000034049749,20.4,20.400000088428297,20.40000329253034,13.0,-0.000005260422566038869,0.00000525416586197025,20.400003431477818,20.400003442078984,2.0,-2.42554698161257e-7,0.00004851093026809395,20.40000329253034,20.400000088428297,6.6,0.0000033960056332489327,-0.0000036287266655108395,20.399999999999996,20.400003404974905,20.40000339448817 
 01/25  00:09:00,20.40000339448817,20.4,20.400000088155655,20.400003282390217,13.0,-0.000005244203829079197,0.000005237965739524952,20.400003420909348,20.400003431477818,2.0,-2.418066060272395e-7,0.00004836132016498596,20.400003282390217,20.400000088155655,6.6,0.0000033855375684424867,-0.0000036175435855057,20.4,20.400003394488168,20.400003384033757 
 01/25  00:10:00,20.400003384033757,20.4,20.400000087883855,20.400003272281233,13.0,-0.000005228034757919886,0.00000522181598194038,20.40000341037346,20.400003420909348,2.0,-2.410609849903267e-7,0.000048212209483608609,20.400003272281233,20.400000087883855,6.6,0.0000033751050191540337,-0.0000036063987424768126,20.399999999999996,20.40000338403376,20.400003373611555 
