Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,21.918748487942229,20.4,20.43199675385861,21.88287227134075,13.0,-1.903422893541025,2.114935171591133,21.95416902555246,21.954166022223757,6.6,-1.0697569086891866,-0.12123146299756628,21.88287227134075,20.43199675385861,6.6,1.0835191433111474,-2.1079917752041896,20.399999999999996,21.918748504966023,21.918701088479698 
 01/25  00:02:00,21.918701088479698,20.4,20.431995775707415,21.88282598388627,13.0,-1.9033647052829126,2.114869123675114,21.95412052844689,21.954117525226918,6.6,-1.0697237581131625,-0.12122699841180294,21.88282598388627,20.431995775707415,6.6,1.083485558888822,-2.1079259462852817,20.4,21.918701105502476,21.91865369051225 
 01/25  00:03:00,21.91865369051225,20.4,20.4319947975864,21.882779697892326,13.0,-1.9033065188197434,2.114803077843497,21.954072032870568,21.95406902975927,6.6,-1.0696906085689127,-0.12122253611817725,21.882779697892326,20.4319947975864,6.6,1.0834519755099659,-2.107860119443233,20.4,21.918653707534,21.91860629403984 
 01/25  00:04:00,21.91860629403984,20.4,20.431993819495589,21.882733413358897,13.0,-1.9032483341536309,2.1147370340971616,21.9540235388234,21.954020535820825,6.6,-1.0696574600551492,-0.12121807186744264,21.882733413358897,20.431993819495589,6.6,1.0834183931736139,-2.1077942946767118,20.4,21.918606311060566,21.918558899062437 
 01/25  00:05:00,21.918558899062437,20.4,20.431992841434995,21.882687130285949,13.0,-1.9031901512849976,2.1146709924355537,21.953975046305378,21.95397204341148,6.6,-1.069624312572409,-0.12121360953844125,21.882687130285949,20.431992841434995,6.6,1.0833848118799803,-2.1077284719847735,20.4,21.91855891608213,21.91851150558 
 01/25  00:06:00,21.91851150558,20.4,20.43199186340459,21.882640848673483,13.0,-1.9031319702123644,2.1146049528578616,21.95392655531642,21.953923552531223,6.6,-1.0695911661195113,-0.12120914635001828,21.882640848673483,20.43199186340459,6.6,1.0833512316278847,-2.107662651367191,20.4,21.918511522598668,21.918464113592486 
 01/25  00:07:00,21.918464113592486,20.4,20.431990885404347,21.882594568521414,13.0,-1.9030737909338287,2.114538915363726,21.9538780658565,21.953875063179983,6.6,-1.0695580206968856,-0.12120468378587249,21.882594568521414,20.431990885404347,6.6,1.0833176524185076,-2.10759683282377,20.4,21.918464130610123,21.918416723099868 
 01/25  00:08:00,21.918416723099868,20.4,20.431989907434298,21.882548289829694,13.0,-1.9030156134515044,2.1144728799529868,21.953829577925558,21.953826575357725,6.6,-1.0695248763035664,-0.12120022119467468,21.882548289829694,20.431989907434298,6.6,1.0832840742524928,-2.1075310163565907,20.400000000000003,21.91841674011648,21.91836933410208 
 01/25  00:09:00,21.91836933410208,20.4,20.43198892949444,21.88250201259823,13.0,-1.90295743776518,2.1144068466260319,21.95378109152355,21.953778089064394,6.6,-1.0694917329401968,-0.12119575885839006,21.88250201259823,20.43198892949444,6.6,1.0832504971306987,-2.1074652019676365,20.4,21.918369351117673,21.918321946599084 
 01/25  00:10:00,21.918321946599084,20.4,20.431987951584774,21.882455736826917,13.0,-1.9028992638750666,2.1143408153832525,21.953732606650428,21.953729604299949,6.6,-1.06945859060667,-0.12119129652938865,21.882455736826917,20.431987951584774,6.6,1.0832169210550565,-2.107399389658305,20.399999999999996,21.918321963613648,21.91827456059082 
