Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.0,20.000000000000005,20.000001771075504 
 01/25  00:02:00,20.4,20.39473688293227,20.000001771075426,20.00000176536824 
 01/25  00:03:00,20.4,20.3999469327058,20.000001765368244,20.000001759211867 
 01/25  00:04:00,20.4,20.399999844105847,20.00000175921187,20.00000175332393 
 01/25  00:05:00,20.4,20.399999999827814,20.000001753323934,20.000001762511706 
 01/25  00:06:00,20.4,20.39999999999982,20.000001762511709,20.000001901899958 
 01/25  00:07:00,20.4,20.400000000000003,20.000001901899937,20.000002621185759 
 01/25  00:08:00,20.4,20.4,20.000002621185673,20.000005057794597 
 01/25  00:09:00,20.4,20.4,20.00000505779454,20.000011360900485 
 01/25  00:10:00,20.4,20.4,20.000011360899938,20.000024835257418 
 01/25  00:11:00,20.4,20.4,20.00002483525392,20.000049849458546 
 01/25  00:12:00,20.4,20.4,20.000049849445387,20.00009155454287 
 01/25  00:13:00,20.4,20.4,20.000091554505337,20.000155507873857 
 01/25  00:14:00,20.4,20.4,20.00015550778511,20.00024729342116 
 01/25  00:15:00,20.4,20.400000000000003,20.000247293238595,20.000372199076489 
 01/25  00:16:00,20.4,20.399999999999996,20.000372198739418,20.000534941538296 
 01/25  00:17:00,20.4,20.4,20.00053494096769,20.000739377747057 
 01/25  00:18:00,20.4,20.4,20.000739376845777,20.000988264636669 
 01/25  00:19:00,20.4,20.4,20.000988263292198,20.00128358209083 
 01/25  00:20:00,20.4,20.4,20.001283580177576,20.001626602935294 
 01/25  00:21:00,20.4,20.4,20.00162660031628,20.002017928409435 
 01/25  00:22:00,20.4,20.4,20.00201792494212,20.00245755498292 
 01/25  00:23:00,20.4,20.4,20.002457550521816,20.002944967114457 
 01/25  00:24:00,20.4,20.4,20.00294496151404,20.003479108858686 
 01/25  00:25:00,20.4,20.4,20.003479101976468,20.004058583520938 
 01/25  00:26:00,20.4,20.4,20.004058575215209,20.00468182239722 
 01/25  00:27:00,20.4,20.4,20.004681812533894,20.005347136795128 
 01/25  00:28:00,20.4,20.400000000000003,20.005347125246094,20.00605275034686 
 01/25  00:29:00,20.4,20.399999999999996,20.006052736990904,20.006796834018507 
 01/25  00:30:00,20.4,20.4,20.006796818741824,20.007577540520804 
 01/25  00:31:00,20.4,20.4,20.007577523217216,20.008393032987873 
 01/25  00:32:00,20.4,20.399999999999996,20.008393013558839,20.009241506319776 
 01/25  00:33:00,20.4,20.4,20.009241484557277,20.010089041656636 
 01/25  00:34:00,20.4,20.399999999999996,20.01008901922063,20.0109332277067 
 01/25  00:35:00,20.4,20.4,20.01093320416256,20.01178460701967 
 01/25  00:36:00,20.4,20.399999999999996,20.01178458190192,20.012651251453869 
 01/25  00:37:00,20.4,20.399999999999996,20.012651224442548,20.013535915917438 
 01/25  00:38:00,20.4,20.4,20.013535886856955,20.014438206866595 
 01/25  00:39:00,20.4,20.4,20.014438175701259,20.015356742208039 
 01/25  00:40:00,20.4,20.4,20.015356708920736,20.01629013846744 
 01/25  00:41:00,20.4,20.399999999999996,20.016290103049334,20.017237223655916 
 01/25  00:42:00,20.4,20.4,20.017237186098489,20.018196985940738 
 01/25  00:43:00,20.4,20.4,20.018196946236455,20.01916850444821 
 01/25  00:44:00,20.4,20.4,20.019168462592174,20.020150917416335 
 01/25  00:45:00,20.4,20.4,20.020150873406896,20.021143415090497 
 01/25  00:46:00,20.4,20.4,20.021143368929054,20.02214523971384 
 01/25  00:47:00,20.4,20.400000000000003,20.022145191404399,20.02315568472525 
 01/25  00:48:00,20.4,20.4,20.023155634274045,20.024174092020833 
 01/25  00:49:00,20.4,20.4,20.02417403943608,20.02519984823918 
 01/25  00:50:00,20.4,20.4,20.02519979353085,20.026232380941523 
 01/25  00:51:00,20.4,20.4,20.02623232412121,20.02727115506157 
 01/25  00:52:00,20.4,20.4,20.027271096142365,20.028315669696384 
 01/25  00:53:00,20.4,20.400000000000003,20.02831560869274,20.029365455210983 
 01/25  00:54:00,20.4,20.4,20.029365392138609,20.030420070621518 
 01/25  00:55:00,20.4,20.4,20.03042000549731,20.031479101232713 
 01/25  00:56:00,20.4,20.4,20.03147903407462,20.032542156510908 
 01/25  00:57:00,20.4,20.399999999999996,20.032542087337906,20.0336088681745 
 01/25  00:58:00,20.4,20.400000000000003,20.033608797006474,20.034678888482579 
 01/25  00:59:00,20.4,20.4,20.034678815340269,20.03575188870201 
 01/25  01:00:00,20.4,20.4,20.035751813606966,20.036827557733905 
 01/25  01:01:00,20.4,20.4,20.0368274807084,20.03790560088146 
 01/25  01:02:00,20.4,20.399999999999996,20.037905521948443,20.03898573874282 
 01/25  01:03:00,20.4,20.4,20.038985657925868,20.040067706214125 
 01/25  01:04:00,20.4,20.4,20.04006762353739,20.041151251589438 
 01/25  01:05:00,20.4,20.4,20.041151167077584,20.04223613574577 
 01/25  01:06:00,20.4,20.400000000000003,20.04223604942394,20.04332213140283 
 01/25  01:07:00,20.4,20.4,20.043322043296596,20.04440902244825 
 01/25  01:08:00,20.4,20.4,20.04440893258356,20.045496603320385 
 01/25  01:09:00,20.4,20.4,20.045496511723536,20.04658467844165 
 01/25  01:10:00,20.4,20.4,20.046584585139248,20.047673061696405 
 01/25  01:11:00,20.4,20.4,20.047672966715305,20.048761575948054 
 01/25  01:12:00,20.4,20.4,20.04876147931535,20.04985005259096 
 01/25  01:13:00,20.4,20.4,20.04984995433393,20.050938331133155 
 01/25  01:14:00,20.4,20.399999999999996,20.05093823127924,20.052026258806508 
 01/25  01:15:00,20.4,20.400000000000003,20.052026157383286,20.053113690201486 
 01/25  01:16:00,20.4,20.4,20.05311358723661,20.05420048692395 
 01/25  01:17:00,20.4,20.399999999999996,20.054200382445154,20.055286517271868 
 01/25  01:18:00,20.4,20.4,20.055286411306928,20.05637165593001 
 01/25  01:19:00,20.4,20.4,20.056371548506715,20.057455783681154 
 01/25  01:20:00,20.4,20.400000000000003,20.05745567482728,20.058538787132215 
 01/25  01:21:00,20.4,20.4,20.05853867687551,20.059620558454279 
 01/25  01:22:00,20.4,20.4,20.059620446822433,20.06070099513532 
 01/25  01:23:00,20.4,20.4,20.060700882155954,20.061779999744794 
 01/25  01:24:00,20.4,20.400000000000003,20.061779885445426,20.062857479709206 
 01/25  01:25:00,20.4,20.399999999999996,20.06285736411725,20.063933347098048 
 01/25  01:26:00,20.4,20.400000000000003,20.063933230240786,20.065007518419337 
 01/25  01:27:00,20.4,20.400000000000003,20.06500740032391,20.06607991442429 
 01/25  01:28:00,20.4,20.4,20.066079795117685,20.06715045992056 
 01/25  01:29:00,20.4,20.400000000000003,20.067150339429575,20.06821908359364 
 01/25  01:30:00,20.4,20.4,20.068218961944909,20.06928571783594 
 01/25  01:31:00,20.4,20.4,20.069285595055886,20.07035029858324 
 01/25  01:32:00,20.4,20.4,20.07035017469809,20.071412765158099 
 01/25  01:33:00,20.4,20.400000000000003,20.071412640193853,20.072473060119937 
 01/25  01:34:00,20.4,20.4,20.07247293410238,20.07353112912152 
 01/25  01:35:00,20.4,20.4,20.073531002076206,20.07458692077144 
 01/25  01:36:00,20.4,20.4,20.074586792723676,20.07564038650252 
 01/25  01:37:00,20.4,20.400000000000003,20.075640257477365,20.076691480445736 
 01/25  01:38:00,20.4,20.4,20.076691350467994,20.077740159309508 
 01/25  01:39:00,20.4,20.399999999999996,20.07774002840372,20.078786382264096 
 01/25  01:40:00,20.4,20.4,20.078786250454557,20.07983011083093 
 01/25  01:41:00,20.4,20.4,20.079829978141654,20.080871308776648 
