Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.228974178329595,19.264076005452535,19.289147621638077 
 01/25  00:02:00,20.4,20.39517019897949,19.288921521618584,19.288576271550974 
 01/25  00:03:00,20.4,20.39988926454722,19.288580389828075,19.287866747704638 
 01/25  00:04:00,20.4,20.399998234492075,19.287872892445586,19.287193419483257 
 01/25  00:05:00,20.4,20.39999997341525,19.28719917728817,19.286622443021746 
 01/25  00:06:00,20.4,20.399999999605684,19.286627311179758,19.28613333340546 
 01/25  00:07:00,20.4,20.39999999999422,19.28613748828558,19.285711532146935 
 01/25  00:08:00,20.4,20.399999999999918,19.285715102756759,19.285333562758038 
 01/25  00:09:00,20.4,20.399999999999996,19.285336750969085,19.28500555303946 
 01/25  00:10:00,20.4,20.4,19.285008312274625,19.284722542177894 
 01/25  00:11:00,20.4,20.399999999999996,19.284724916377898,19.28450046301798 
 01/25  00:12:00,20.4,20.4,19.284502322928167,19.284337744843655 
 01/25  00:13:00,20.4,20.399999999999996,19.284339105362549,19.28424944853444 
 01/25  00:14:00,20.4,20.4,19.284250188038045,19.284231280189745 
 01/25  00:15:00,20.4,20.400000000000003,19.284231435825867,19.2842942848517 
 01/25  00:16:00,20.4,20.4,19.284293768531016,19.28443010167954 
 01/25  00:17:00,20.4,20.4,19.284428983670226,19.284645608905739 
 01/25  00:18:00,20.4,20.4,19.284643835507386,19.284929039117207 
 01/25  00:19:00,20.4,20.399999999999996,19.284926707960318,19.285284302670239 
 01/25  00:20:00,20.4,20.4,19.285281384171584,19.285697844903298 
 01/25  00:21:00,20.4,20.399999999999996,19.285694450482358,19.28617211318133 
 01/25  00:22:00,20.4,20.399999999999996,19.286168224757977,19.28669193750178 
 01/25  00:23:00,20.4,20.4,19.286687678793695,19.28725716072186 
 01/25  00:24:00,20.4,20.39999999999999,19.287252534452685,19.287851472819388 
 01/25  00:25:00,20.4,20.399999999999996,19.28784661135916,19.288475218000888 
 01/25  00:26:00,20.4,20.400000000000003,19.288470119693508,19.28911389690892 
 01/25  00:27:00,20.4,20.400000000000003,19.289108679342968,19.289770223205556 
 01/25  00:28:00,20.4,20.4,19.289764865166707,19.29044628492263 
 01/25  00:29:00,20.4,20.399999999999996,19.290440768958754,19.29113863590928 
 01/25  00:30:00,20.4,20.400000000000003,19.291132989458214,19.29184125360998 
 01/25  00:31:00,20.4,20.4,19.291835525287867,19.292548248998913 
 01/25  00:32:00,20.4,20.399999999999996,19.29254248647941,19.293254839323696 
 01/25  00:33:00,20.4,20.399999999999996,19.2932490813161,19.293957314677539 
 01/25  00:34:00,20.4,20.4,19.293951591155467,19.294652746114815 
 01/25  00:35:00,20.4,20.400000000000003,19.294647080691929,19.295338750584955 
 01/25  00:36:00,20.4,20.4,19.295333162441325,19.296013355921987 
 01/25  00:37:00,20.4,20.4,19.296007860913656,19.29667492674068 
 01/25  00:38:00,20.4,20.4,19.296669538008,19.297322115805309 
 01/25  00:39:00,20.4,20.4,19.29731684416989,19.297953824800815 
 01/25  00:40:00,20.4,20.4,19.297948679083878,19.298569170216145 
 01/25  00:41:00,20.4,20.4,19.298564157514453,19.299167453865477 
 01/25  00:42:00,20.4,20.399999999999996,19.299162579789117,19.299748137856154 
 01/25  00:43:00,20.4,20.4,19.299743406730025,19.300310823420337 
 01/25  00:44:00,20.4,20.400000000000003,19.300306238454163,19.30085523287086 
 01/25  00:45:00,20.4,20.399999999999996,19.30085079630378,19.301381194028918 
 01/25  00:46:00,20.4,20.4,19.301376907254089,19.301888626634186 
 01/25  00:47:00,20.4,20.4,19.30188449030737,19.302377530388225 
 01/25  00:48:00,20.4,20.4,19.30237354452325,19.302847974377788 
 01/25  00:49:00,20.4,20.39999999999999,19.30284413843097,19.303300087685625 
 01/25  00:50:00,20.4,20.4,19.303296400630683,19.303734051036498 
 01/25  00:51:00,20.4,20.399999999999996,19.303730511431227,19.304150089354648 
 01/25  00:52:00,20.4,20.4,19.304146695400374,19.30454846513003 
 01/25  00:53:00,20.4,20.4,19.304545214724575,19.304929472506687 
 01/25  00:54:00,20.4,20.400000000000003,19.30492636329165,19.305293432018777 
 01/25  00:55:00,20.4,20.4,19.305290461421664,19.305640685909326 
 01/25  00:56:00,20.4,20.4,19.305637851175793,19.305975342323526 
 01/25  00:57:00,20.4,20.400000000000003,19.305972610679257,19.30629480206904 
 01/25  00:58:00,20.4,20.4,19.30629219410643,19.306609476618296 
 01/25  00:59:00,20.4,20.399999999999996,19.30660690829579,19.306913409140916 
 01/25  01:00:00,20.4,20.4,19.306910927892653,19.307212795573184 
 01/25  01:01:00,20.4,20.4,19.307210351704215,19.307499995614454 
 01/25  01:02:00,20.4,20.399999999999996,19.30749765048775,19.307781175180595 
 01/25  01:03:00,20.4,20.4,19.307778879453019,19.308049280504627 
 01/25  01:04:00,20.4,20.399999999999996,19.308047090815216,19.30831092258008 
 01/25  01:05:00,20.4,20.4,19.308308785935127,19.308559390359798 
 01/25  01:06:00,20.4,20.4,19.308557360613937,19.30880143053903 
 01/25  01:07:00,20.4,20.400000000000003,19.30879945356519,19.309030482972916 
 01/25  01:08:00,20.4,20.4,19.30902861141342,19.309253336467827 
 01/25  01:09:00,20.4,20.4,19.309251515830796,19.30946353307587 
 01/25  01:10:00,20.4,20.4,19.309461815190717,19.309667870739273 
 01/25  01:11:00,20.4,20.399999999999996,19.30966620101832,19.309859965647918 
 01/25  01:12:00,20.4,20.400000000000003,19.309858395336027,19.3100466016038 
 01/25  01:13:00,20.4,20.4,19.310045076207204,19.310221449712786 
 01/25  01:14:00,20.4,20.399999999999996,19.310220020048094,19.310391265204328 
 01/25  01:15:00,20.4,20.4,19.310389876989605,19.310549762675753 
 01/25  01:16:00,20.4,20.4,19.310548466392075,19.310703660535006 
 01/25  01:17:00,20.4,20.4,19.3107024021799,19.310846710138958 
 01/25  01:18:00,20.4,20.4,19.310845539912316,19.310985588349288 
 01/25  01:19:00,20.4,20.399999999999996,19.310984452567078,19.31111407924332 
 01/25  01:20:00,20.4,20.399999999999996,19.311113027856658,19.31123881548176 
 01/25  01:21:00,20.4,20.400000000000003,19.31123779514722,19.311353611437839 
 01/25  01:22:00,20.4,20.400000000000003,19.311352671876965,19.311465054165738 
 01/25  01:23:00,20.4,20.400000000000003,19.311464142387764,19.31156698688802 
 01/25  01:24:00,20.4,20.4,19.311566152396176,19.311665950401978 
 01/25  01:25:00,20.4,20.4,19.31166514056406,19.311755815927439 
 01/25  01:26:00,20.4,20.4,19.311755080034776,19.31184307781378 
 01/25  01:27:00,20.4,20.4,19.311842363594964,19.31192163479158 
 01/25  01:28:00,20.4,20.400000000000003,19.311920991329456,19.311997934854259 
 01/25  01:29:00,20.4,20.4,19.311997310238078,19.312065903985073 
 01/25  01:30:00,20.4,20.400000000000003,19.31206534709084,19.31213194409042 
 01/25  01:31:00,20.4,20.400000000000003,19.312131403366505,19.312190008293706 
 01/25  01:32:00,20.4,20.4,19.31218953240968,19.312246452795699 
 01/25  01:33:00,20.4,20.4,19.312245990556567,19.312295257841897 
 01/25  01:34:00,20.4,20.4,19.31229485771049,19.312342734381379 
 01/25  01:35:00,20.4,20.4,19.31234234551625,19.31238288982604 
 01/25  01:36:00,20.4,20.4,19.312382560482477,19.31242199037423 
 01/25  01:37:00,20.4,20.4,19.31242167006083,19.31245407069004 
 01/25  01:38:00,20.4,20.4,19.31245380745343,19.31248535275234 
 01/25  01:39:00,20.4,20.400000000000003,19.312485096447383,19.312509898590596 
 01/25  01:40:00,20.4,20.4,19.312509697053938,19.31253388651414 
 01/25  01:41:00,20.4,20.399999999999996,19.31253368994296,19.312551406048418 
