Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,49.99997364312257,24.547483913733087,24.547651172112365 
 01/25  00:02:00,20.4,49.99997365013811,24.54765049140947,24.547817748615925 
 01/25  00:03:00,20.4,49.99997365714997,24.54781706791794,24.54798432397818 
 01/25  00:04:00,20.4,49.999973664158137,24.547983643285,24.548150898172524 
 01/25  00:05:00,20.4,49.99997367116261,24.548150217484254,24.54831747122551 
 01/25  00:06:00,20.4,49.9999736781634,24.54831679054204,24.548484043110674 
 01/25  00:07:00,20.4,49.999973685160529,24.548483362432117,24.548650613854418 
 01/25  00:08:00,20.4,49.99997369215397,24.54864993318066,24.54881718343044 
 01/25  00:09:00,20.4,49.99997369914376,24.54881650276159,24.548983751864989 
 01/25  00:10:00,20.4,49.999973706129868,24.548983071200945,24.54915031913192 
 01/25  00:11:00,20.4,49.99997371311232,24.549149638472785,24.549316885257335 
 01/25  00:12:00,20.4,49.9999737200911,24.549316204602996,24.549483450215239 
 01/25  00:13:00,20.4,49.999973727066237,24.549482769565818,24.549650014031568 
 01/25  00:14:00,20.4,49.9999737340377,24.54964933338695,24.54981657668047 
 01/25  00:15:00,20.4,49.99997374100551,24.549815896040756,24.549983138187753 
 01/25  00:16:00,20.4,49.999973747969679,24.549982457552848,24.55014969852773 
 01/25  00:17:00,20.4,49.99997375493019,24.550149017897725,24.55031625772604 
 01/25  00:18:00,20.4,49.99997376188707,24.55031557710084,24.550482815757147 
 01/25  00:19:00,20.4,49.99997376884031,24.55048213513685,24.550649372646548 
 01/25  00:20:00,20.4,49.99997377578991,24.550648692031058,24.55081592836884 
 01/25  00:21:00,20.4,49.99997378273586,24.550815247758256,24.55098248294937 
 01/25  00:22:00,20.4,49.99997378967817,24.550981802343594,24.551149036362895 
 01/25  00:23:00,20.4,49.999973796616867,24.55114835576202,24.551315588634599 
 01/25  00:24:00,20.4,49.999973803551927,24.551314908038529,24.55148213973937 
 01/25  00:25:00,20.4,49.99997381048336,24.551481459148208,24.55164868970224 
 01/25  00:26:00,20.4,49.99997381741118,24.551648009115885,24.551815238498255 
 01/25  00:27:00,20.4,49.999973824335388,24.5518145579168,24.551981786152294 
 01/25  00:28:00,20.4,49.99997383125597,24.55198110557565,24.552148332639537 
 01/25  00:29:00,20.4,49.99997383817294,24.55214765206779,24.552314877984729 
 01/25  00:30:00,20.4,49.999973845086298,24.55231419741779,24.552481422163198 
 01/25  00:31:00,20.4,49.99997385199603,24.552480741601163,24.55264796519955 
 01/25  00:32:00,20.4,49.99997385890217,24.552647284642327,24.552814507069266 
 01/25  00:33:00,20.4,49.99997386580471,24.552813826516944,24.552981047796803 
 01/25  00:34:00,20.4,49.99997387270366,24.552980367249288,24.553147587357786 
 01/25  00:35:00,20.4,49.999973879599,24.55314690681517,24.553314125776539 
 01/25  00:36:00,20.4,49.99997388649075,24.55331344523873,24.55348066302884 
 01/25  00:37:00,20.4,49.9999738933789,24.553479982495938,24.553647199138866 
 01/25  00:38:00,20.4,49.999973900263459,24.55364651861077,24.55381373408253 
 01/25  00:39:00,20.4,49.99997390714446,24.55381305355934,24.553980267883884 
 01/25  00:40:00,20.4,49.999973914021868,24.553979587365498,24.554146800518987 
 01/25  00:41:00,20.4,49.99997392089569,24.5541461200055,24.554313332011746 
 01/25  00:42:00,20.4,49.99997392776594,24.55431265150306,24.554479862338373 
 01/25  00:43:00,20.4,49.999973934632617,24.554479181834595,24.554646391522618 
 01/25  00:44:00,20.4,49.99997394149571,24.554645711023644,24.554812919540816 
 01/25  00:45:00,20.4,49.999973948355258,24.554812239046748,24.55497944641659 
 01/25  00:46:00,20.4,49.99997395521123,24.55497876592733,24.555145972126405 
 01/25  00:47:00,20.4,49.99997396206364,24.55514529164204,24.555312496693728 
 01/25  00:48:00,20.4,49.99997396891248,24.555311816214176,24.55547902009519 
 01/25  00:49:00,20.4,49.99997397575776,24.55547833962054,24.555645542354126 
 01/25  00:50:00,20.4,49.999973982599488,24.555644861884283,24.55581206344726 
 01/25  00:51:00,20.4,49.99997398943766,24.555811382982314,24.555978583397793 
 01/25  00:52:00,20.4,49.99997399627229,24.555977902937653,24.5561451021826 
 01/25  00:53:00,20.4,49.99997400310336,24.556144421727365,24.556311619824734 
 01/25  00:54:00,20.4,49.9999740099309,24.556310939374307,24.55647813630122 
 01/25  00:55:00,20.4,49.999974016754908,24.556477455855697,24.55664465163498 
 01/25  00:56:00,20.4,49.99997402357537,24.55664397119426,24.556811165803184 
 01/25  00:57:00,20.4,49.999974030392298,24.556810485367366,24.556977678828635 
 01/25  00:58:00,20.4,49.99997403720568,24.556976998397624,24.55714419068864 
 01/25  00:59:00,20.4,49.999974044015548,24.557143510262525,24.55731070140587 
 01/25  01:00:00,20.4,49.999974050821879,24.557310020984568,24.55747721095777 
 01/25  01:01:00,20.4,49.999974057624687,24.557476530541366,24.557643719366859 
 01/25  01:02:00,20.4,49.999974064423977,24.557643038955257,24.557810226610699 
 01/25  01:03:00,20.4,49.99997407121974,24.557809546204007,24.557976732711688 
 01/25  01:04:00,20.4,49.999974078011998,24.55797605230979,24.558143237647504 
 01/25  01:05:00,20.4,49.99997408480075,24.558142557250507,24.55830974144041 
 01/25  01:06:00,20.4,49.99997409158599,24.558309061048225,24.558476244068215 
 01/25  01:07:00,20.4,49.999974098367719,24.55847556368093,24.55864274555304 
 01/25  01:08:00,20.4,49.99997410514593,24.558642065170568,24.558809245872824 
 01/25  01:09:00,20.4,49.99997411192064,24.558808565495249,24.55897574504956 
 01/25  01:10:00,20.4,49.99997411869187,24.558975064676788,24.559142243061314 
 01/25  01:11:00,20.4,49.99997412545958,24.55914156269344,24.55930873992996 
 01/25  01:12:00,20.4,49.99997413222381,24.5593080595669,24.559475235633724 
 01/25  01:13:00,20.4,49.999974138984537,24.559474555275558,24.559641730194334 
 01/25  01:14:00,20.4,49.99997414574178,24.55964104984097,24.559808223590126 
 01/25  01:15:00,20.4,49.99997415249554,24.55980754324166,24.559974715842704 
 01/25  01:16:00,20.4,49.99997415924581,24.559974035499044,24.560141206930529 
 01/25  01:17:00,20.4,49.99997416599259,24.560140526591775,24.560307696875087 
 01/25  01:18:00,20.4,49.9999741727359,24.560307016541139,24.56047418565496 
 01/25  01:19:00,20.4,49.99997417947573,24.56047350532591,24.560640673291528 
 01/25  01:20:00,20.4,49.999974186212089,24.560639992967287,24.560807159763497 
 01/25  01:21:00,20.4,49.99997419294497,24.560806479444147,24.56097364509212 
 01/25  01:22:00,20.4,49.999974199674387,24.560972964777588,24.56114012925624 
 01/25  01:23:00,20.4,49.99997420640033,24.561139448946606,24.561306612276974 
 01/25  01:24:00,20.4,49.99997421312284,24.561305931972144,24.561473094133289 
 01/25  01:25:00,20.4,49.999974219841877,24.561472413833355,24.561639574846187 
 01/25  01:26:00,20.4,49.99997422655744,24.561638894551064,24.56180605439474 
 01/25  01:27:00,20.4,49.99997423326957,24.561805374104517,24.561972532799819 
 01/25  01:28:00,20.4,49.999974239978239,24.5619718525144,24.562139010040629 
 01/25  01:29:00,20.4,49.999974246683468,24.562138329760108,24.562305486137924 
 01/25  01:30:00,20.4,49.99997425338524,24.562304805862209,24.562471961071045 
 01/25  01:31:00,20.4,49.99997426008356,24.562471280800226,24.56263843486061 
 01/25  01:32:00,20.4,49.99997426677846,24.562637754594609,24.562804907486077 
 01/25  01:33:00,20.4,49.99997427346991,24.56280422722496,24.56297137896795 
 01/25  01:34:00,20.4,49.99997428015793,24.56297069871165,24.56313784928583 
 01/25  01:35:00,20.4,49.99997428684251,24.563137169034424,24.56330431846009 
 01/25  01:36:00,20.4,49.99997429352367,24.563303638213488,24.56347078647041 
 01/25  01:37:00,20.4,49.99997430020141,24.56347010622871,24.563637253337068 
 01/25  01:38:00,20.4,49.99997430687572,24.563636573100177,24.563803719039869 
 01/25  01:39:00,20.4,49.999974313546619,24.563803038807863,24.563970183598945 
 01/25  01:40:00,20.4,49.99997432021408,24.563969503371756,24.564136646994226 
 01/25  01:41:00,20.4,49.99997432687812,24.564135966771926,24.564303109245736 
 01/25  01:42:00,20.4,49.999974333538748,24.56430242902825,24.564469570333526 
 01/25  01:43:00,20.4,49.99997434019596,24.564468890120936,24.56463603027751 
 01/25  01:44:00,20.4,49.999974346849779,24.564635350069734,24.564802489057859 
 01/25  01:45:00,20.4,49.99997435350017,24.56480180885497,24.564968946694365 
 01/25  01:46:00,20.4,49.99997436014718,24.564968266496288,24.565135403167319 
 01/25  01:47:00,20.4,49.99997436679077,24.565134722974134,24.565301858496406 
 01/25  01:48:00,20.4,49.999974373430969,24.565301178308027,24.56546831266203 
 01/25  01:49:00,20.4,49.99997438006776,24.565467632478549,24.565634765683777 
 01/25  01:50:00,20.4,49.99997438670117,24.565634085505108,24.565801217542164 
 01/25  01:51:00,20.4,49.999974393331189,24.565800537368383,24.565967668256638 
 01/25  01:52:00,20.4,49.999974399957817,24.56596698808767,24.566134117807818 
 01/25  01:53:00,20.4,49.99997440658105,24.566133437643744,24.56630056621502 
 01/25  01:54:00,20.4,49.99997441320091,24.56629988605576,24.56646701345898 
 01/25  01:55:00,20.4,49.999974419817387,24.566466333304608,24.56663345955889 
 01/25  01:56:00,20.4,49.999974426430487,24.56663277940933,24.5667999044956 
 01/25  01:57:00,20.4,49.99997443304021,24.566799224350935,24.566966348288209 
 01/25  01:58:00,20.4,49.999974439646567,24.56696566814835,24.56713279091769 
 01/25  01:59:00,20.4,49.99997444624954,24.56713211078272,24.567299232403049 
 01/25  02:00:00,20.4,49.99997445284915,24.56729855227289,24.567465672725374 
 01/25  02:01:00,20.4,49.99997445944539,24.567464992600109,24.567632111903558 
 01/25  02:02:00,20.4,49.999974466038278,24.567631431783107,24.567798549918807 
 01/25  02:03:00,20.4,49.9999744726278,24.567797869803237,24.5679649867899 
 01/25  02:04:00,20.4,49.99997447921396,24.567964306679149,24.568131422498145 
 01/25  02:05:00,20.4,49.99997448579678,24.56813074239228,24.568297857062207 
 01/25  02:06:00,20.4,49.99997449237624,24.568297176961165,24.568464290463493 
 01/25  02:07:00,20.4,49.99997449895235,24.56846361036734,24.568630722720547 
 01/25  02:08:00,20.4,49.99997450552511,24.568630042629196,24.568797153814889 
 01/25  02:09:00,20.4,49.99997451209452,24.56879647372843,24.568963583764945 
 01/25  02:10:00,20.4,49.99997451866059,24.568962903683297,24.569130012552333 
 01/25  02:11:00,20.4,49.99997452522334,24.569129332475577,24.569296440195374 
 01/25  02:12:00,20.4,49.99997453178273,24.569295760123436,24.569462866675808 
 01/25  02:13:00,20.4,49.99997453833879,24.569462186608754,24.569629292011866 
 01/25  02:14:00,20.4,49.999974544891518,24.569628611949619,24.569795716185383 
 01/25  02:15:00,20.4,49.999974551440917,24.569795036128029,24.569962139214505 
 01/25  02:16:00,20.4,49.99997455798698,24.569961459161964,24.57012856108118 
 01/25  02:17:00,20.4,49.99997456452973,24.570127881033529,24.570294981803444 
 01/25  02:18:00,20.4,49.99997457106915,24.5702943017606,24.570461401363333 
 01/25  02:19:00,20.4,49.999974577605268,24.570460721325387,24.57062781977875 
 01/25  02:20:00,20.4,49.99997458413806,24.57062713974561,24.570794237031845 
 01/25  02:21:00,20.4,49.999974590667537,24.57079355700359,24.57096065314041 
 01/25  02:22:00,20.4,49.9999745971937,24.57095997311697,24.571127068086719 
 01/25  02:23:00,20.4,49.99997460371656,24.571126388068167,24.57129348188846 
 01/25  02:24:00,20.4,49.999974610236119,24.571292801874724,24.57145989452802 
 01/25  02:25:00,20.4,49.99997461675237,24.571459214519174,24.571626306022997 
 01/25  02:26:00,20.4,49.9999746232653,24.571625626018958,24.57179271635588 
 01/25  02:27:00,20.4,49.999974629774957,24.57179203635673,24.571959125544159 
 01/25  02:28:00,20.4,49.9999746362813,24.571958445549826,24.572125533570405 
 01/25  02:29:00,20.4,49.999974642784348,24.572124853580953,24.572291940452016 
 01/25  02:30:00,20.4,49.99997464928411,24.57229126046738,24.57245834617167 
 01/25  02:31:00,20.4,49.99997465578059,24.572457666191917,24.572624750746664 
 01/25  02:32:00,20.4,49.99997466227378,24.572624070771725,24.57279115415978 
 01/25  02:33:00,20.4,49.99997466876368,24.57279047418973,24.572957556428216 
 01/25  02:34:00,20.4,49.9999746752503,24.57295687646298,24.573123957534848 
 01/25  02:35:00,20.4,49.99997468173364,24.5731232775745,24.57329035749676 
 01/25  02:36:00,20.4,49.999974688213708,24.573289677541223,24.573456756296936 
 01/25  02:37:00,20.4,49.99997469469049,24.573456076346284,24.57362315395235 
 01/25  02:38:00,20.4,49.999974701164017,24.57362247400651,24.573789550446084 
 01/25  02:39:00,20.4,49.999974707634269,24.573788870505127,24.57395594579502 
 01/25  02:40:00,20.4,49.99997471410125,24.57395526585889,24.57412233998233 
 01/25  02:41:00,20.4,49.99997472056497,24.57412166005108,24.57428873302482 
 01/25  02:42:00,20.4,49.99997472702544,24.57428805309838,24.57445512490576 
 01/25  02:43:00,20.4,49.99997473348263,24.574454444984207,24.57462151564185 
 01/25  02:44:00,20.4,49.99997473993656,24.57462083572512,24.57478790521648 
 01/25  02:45:00,20.4,49.999974746387248,24.574787225304623,24.57495429364624 
 01/25  02:46:00,20.4,49.99997475283468,24.574953613739205,24.575120680914617 
 01/25  02:47:00,20.4,49.999974759278867,24.575120001012459,24.57528706703811 
 01/25  02:48:00,20.4,49.999974765719809,24.57528638714077,24.57545345200027 
 01/25  02:49:00,20.4,49.9999747721575,24.575452772107817,24.575619835817496 
 01/25  02:50:00,20.4,49.99997477859195,24.575619155929855,24.57578621847344 
 01/25  02:51:00,20.4,49.99997478502316,24.575785538590688,24.575952599984399 
 01/25  02:52:00,20.4,49.99997479145112,24.575951920106456,24.57611898033412 
 01/25  02:53:00,20.4,49.99997479787585,24.576118300461056,24.57628535953879 
 01/25  02:54:00,20.4,49.99997480429737,24.576284679670544,24.576451737582265 
 01/25  02:55:00,20.4,49.99997481071565,24.576451057718907,24.57661811448066 
 01/25  02:56:00,20.4,49.9999748171307,24.57661743462211,24.57678449021794 
 01/25  02:57:00,20.4,49.99997482354253,24.576783810364274,24.576950864810124 
 01/25  02:58:00,20.4,49.999974829951138,24.57695018496127,24.577117238241259 
 01/25  02:59:00,20.4,49.999974836356518,24.57711655839729,24.577283610527279 
 01/25  03:00:00,20.4,49.999974842758678,24.577282930688129,24.57744998165232 
 01/25  03:01:00,20.4,49.99997484915762,24.577449301818054,24.577616351632217 
 01/25  03:02:00,20.4,49.99997485555337,24.57761567180276,24.577782720451198 
 01/25  03:03:00,20.4,49.99997486194588,24.577782040626628,24.577949088125004 
 01/25  03:04:00,20.4,49.999974868335197,24.57794840830525,24.57811545463796 
 01/25  03:05:00,20.4,49.99997487472129,24.578114774823086,24.578281820005704 
 01/25  03:06:00,20.4,49.9999748811042,24.578281140195647,24.578448184212637 
 01/25  03:07:00,20.4,49.99997488748391,24.57844750440746,24.578614547274307 
 01/25  03:08:00,20.4,49.999974893860429,24.578613867473949,24.5787809091752 
 01/25  03:09:00,20.4,49.99997490023374,24.578780229379725,24.578947269930777 
 01/25  03:10:00,20.4,49.99997490660386,24.578946590140114,24.579113629525645 
 01/25  03:11:00,20.4,49.99997491297077,24.57911294973986,24.57927998797521 
 01/25  03:12:00,20.4,49.999974919334508,24.57927930819424,24.57944634526416 
 01/25  03:13:00,20.4,49.99997492569506,24.579445665488075,24.579612701407805 
 01/25  03:14:00,20.4,49.99997493205242,24.57961202163653,24.57977905639093 
 01/25  03:15:00,20.4,49.9999749384066,24.57977837662454,24.579945410228729 
 01/25  03:16:00,20.4,49.99997494475761,24.579944730467156,24.58011176290607 
 01/25  03:17:00,20.4,49.99997495110545,24.580111083149374,24.58027811443808 
 01/25  03:18:00,20.4,49.99997495745009,24.580277434686207,24.58044446480971 
 01/25  03:19:00,20.4,49.99997496379157,24.58044378506271,24.580610814035969 
 01/25  03:20:00,20.4,49.99997497012989,24.580610134293793,24.580777162101908 
 01/25  03:21:00,20.4,49.99997497646502,24.580776482364599,24.580943509022448 
 01/25  03:22:00,20.4,49.99997498279699,24.580942829289968,24.58110985478272 
 01/25  03:23:00,20.4,49.99997498912581,24.581109175055116,24.581276199397565 
 01/25  03:24:00,20.4,49.999974995451477,24.581275519674777,24.581442542852196 
 01/25  03:25:00,20.4,49.99997500177397,24.581441863134285,24.581608885161356 
 01/25  03:26:00,20.4,49.999975008093318,24.581608205448263,24.58177522631033 
 01/25  03:27:00,20.4,49.99997501440951,24.58177454660212,24.5819415663138 
 01/25  03:28:00,20.4,49.99997502072254,24.581940886610409,24.58210790515714 
 01/25  03:29:00,20.4,49.999975027032437,24.582107225458626,24.58227424285493 
 01/25  03:30:00,20.4,49.999975033339179,24.58227356316123,24.582440579392647 
 01/25  03:31:00,20.4,49.99997503964278,24.582439899703819,24.5826069147848 
 01/25  03:32:00,20.4,49.99997504594323,24.582606235100795,24.582773249016964 
 01/25  03:33:00,20.4,49.99997505224055,24.58277256933783,24.582939582103568 
 01/25  03:34:00,20.4,49.99997505853474,24.58293890242926,24.58310591403026 
 01/25  03:35:00,20.4,49.99997506482579,24.583105234360827,24.58327224481137 
