Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.399999999999996,22.86644086226645,22.866425116392575 
 01/25  00:02:00,20.4,20.400000000000003,22.866425125142205,22.86640937936964 
 01/25  00:03:00,20.4,20.400000000000003,22.866409388119167,22.866393642448828 
 01/25  00:04:00,20.4,20.400000000000003,22.866393651198249,22.866377905629208 
 01/25  00:05:00,20.4,20.4,22.86637791437852,22.86636216891168 
 01/25  00:06:00,20.4,20.4,22.866362177660894,22.86634643229536 
 01/25  00:07:00,20.4,20.399999999999996,22.86634644104447,22.866330695781138 
 01/25  00:08:00,20.4,20.400000000000003,22.866330704530136,22.86631495936812 
 01/25  00:09:00,20.4,20.400000000000003,22.866314968117015,22.866299223057206 
 01/25  00:10:00,20.4,20.4,22.866299231806,22.866283486847519 
 01/25  00:11:00,20.4,20.400000000000003,22.866283495596205,22.866267750739959 
 01/25  00:12:00,20.4,20.4,22.866267759488538,22.86625201473365 
 01/25  00:13:00,20.4,20.4,22.866252023482124,22.866236278829488 
 01/25  00:14:00,20.4,20.400000000000003,22.866236287577853,22.866220543026583 
 01/25  00:15:00,20.4,20.4,22.86622055177485,22.866204807325809 
 01/25  00:16:00,20.4,20.4,22.866204816073969,22.866189071726283 
 01/25  00:17:00,20.4,20.399999999999996,22.866189080474336,22.866173336228866 
 01/25  00:18:00,20.4,20.399999999999996,22.86617334497681,22.866157600832666 
 01/25  00:19:00,20.4,20.399999999999996,22.866157609580509,22.86614186553854 
 01/25  00:20:00,20.4,20.4,22.866141874286279,22.866126130345625 
 01/25  00:21:00,20.4,20.4,22.866126139093259,22.866110395254777 
 01/25  00:22:00,20.4,20.4,22.866110404002304,22.86609466026513 
 01/25  00:23:00,20.4,20.400000000000003,22.866094669012548,22.86607892537756 
 01/25  00:24:00,20.4,20.399999999999996,22.86607893412488,22.866063190591214 
 01/25  00:25:00,20.4,20.4,22.866063199338436,22.866047455906963 
 01/25  00:26:00,20.4,20.4,22.86604746465407,22.866031721323944 
 01/25  00:27:00,20.4,20.4,22.866031730070949,22.866015986843025 
 01/25  00:28:00,20.4,20.4,22.866015995589924,22.86600025246335 
 01/25  00:29:00,20.4,20.4,22.866000261210144,22.865984518185763 
 01/25  00:30:00,20.4,20.4,22.86598452693245,22.8659687840094 
 01/25  00:31:00,20.4,20.4,22.865968792755984,22.865953049935106 
 01/25  00:32:00,20.4,20.4,22.865953058681585,22.86593731596204 
 01/25  00:33:00,20.4,20.399999999999996,22.86593732470841,22.865921582091027 
 01/25  00:34:00,20.4,20.399999999999996,22.865921590837297,22.86590584832124 
 01/25  00:35:00,20.4,20.4,22.865905857067405,22.865890114653529 
 01/25  00:36:00,20.4,20.4,22.865890123399589,22.86587438108706 
 01/25  00:37:00,20.4,20.4,22.865874389833015,22.865858647622674 
 01/25  00:38:00,20.4,20.4,22.865858656368525,22.865842914259546 
 01/25  00:39:00,20.4,20.4,22.865842923005287,22.865827180998499 
 01/25  00:40:00,20.4,20.4,22.865827189744136,22.865811447838717 
 01/25  00:41:00,20.4,20.399999999999996,22.86581145658425,22.865795714781006 
 01/25  00:42:00,20.4,20.400000000000003,22.86579572352643,22.86577998182456 
 01/25  00:43:00,20.4,20.400000000000003,22.86577999056988,22.865764248970174 
 01/25  00:44:00,20.4,20.4,22.86576425771539,22.865748516217029 
 01/25  00:45:00,20.4,20.400000000000003,22.865748524962144,22.86573278356593 
 01/25  00:46:00,20.4,20.400000000000003,22.865732792310934,22.865717051016067 
 01/25  00:47:00,20.4,20.4,22.865717059760969,22.865701318568236 
 01/25  00:48:00,20.4,20.400000000000003,22.865701327313027,22.865685586221635 
 01/25  00:49:00,20.4,20.399999999999996,22.86568559496633,22.865669853977065 
 01/25  00:50:00,20.4,20.4,22.86566986272165,22.86565412183374 
 01/25  00:51:00,20.4,20.4,22.86565413057822,22.86563838979246 
 01/25  00:52:00,20.4,20.4,22.865638398536836,22.865622657852446 
 01/25  00:53:00,20.4,20.400000000000003,22.865622666596719,22.865606926014487 
 01/25  00:54:00,20.4,20.399999999999996,22.865606934758654,22.865591194277806 
 01/25  00:55:00,20.4,20.4,22.86559120302186,22.865575462643194 
 01/25  00:56:00,20.4,20.399999999999996,22.865575471387154,22.865559731109874 
 01/25  00:57:00,20.4,20.400000000000003,22.865559739853727,22.865543999678608 
 01/25  00:58:00,20.4,20.399999999999996,22.865544008422356,22.86552826834862 
 01/25  00:59:00,20.4,20.400000000000003,22.865528277092264,22.86551253712067 
 01/25  01:00:00,20.4,20.4,22.865512545864207,22.865496805993979 
 01/25  01:01:00,20.4,20.4,22.865496814737406,22.865481074969293 
 01/25  01:02:00,20.4,20.4,22.86548108371262,22.865465344045849 
 01/25  01:03:00,20.4,20.4,22.865465352789074,22.8654496132244 
 01/25  01:04:00,20.4,20.4,22.86544962196751,22.86543388250417 
 01/25  01:05:00,20.4,20.399999999999996,22.865433891247183,22.865418151885913 
 01/25  01:06:00,20.4,20.4,22.865418160628818,22.865402421368846 
 01/25  01:07:00,20.4,20.4,22.86540243011164,22.865386690953714 
 01/25  01:08:00,20.4,20.4,22.865386699696413,22.865370960639749 
 01/25  01:09:00,20.4,20.399999999999996,22.865370969382345,22.865355230427697 
 01/25  01:10:00,20.4,20.400000000000003,22.86535523917018,22.86533950031681 
 01/25  01:11:00,20.4,20.4,22.865339509059195,22.865323770307837 
 01/25  01:12:00,20.4,20.400000000000003,22.865323779050109,22.865308040400025 
 01/25  01:13:00,20.4,20.4,22.8653080491422,22.865292310594115 
 01/25  01:14:00,20.4,20.400000000000003,22.86529231933618,22.86527658088938 
 01/25  01:15:00,20.4,20.4,22.86527658963134,22.865260851286558 
 01/25  01:16:00,20.4,20.399999999999996,22.865260860028415,22.8652451217849 
 01/25  01:17:00,20.4,20.4,22.86524513052665,22.865229392385154 
 01/25  01:18:00,20.4,20.400000000000003,22.8652294011268,22.865213663086583 
 01/25  01:19:00,20.4,20.4,22.865213671828124,22.865197933889904 
 01/25  01:20:00,20.4,20.4,22.865197942631345,22.86518220479439 
 01/25  01:21:00,20.4,20.400000000000003,22.865182213535726,22.865166475800775 
 01/25  01:22:00,20.4,20.400000000000003,22.865166484542006,22.865150746908335 
 01/25  01:23:00,20.4,20.400000000000003,22.865150755649457,22.865135018117795 
 01/25  01:24:00,20.4,20.4,22.865135026858807,22.865119289428443 
 01/25  01:25:00,20.4,20.4,22.865119298169355,22.865103560841005 
 01/25  01:26:00,20.4,20.4,22.865103569581817,22.865087832354754 
 01/25  01:27:00,20.4,20.399999999999996,22.865087841095453,22.865072103970399 
 01/25  01:28:00,20.4,20.4,22.865072112710999,22.865056375687236 
 01/25  01:29:00,20.4,20.4,22.86505638442773,22.86504064750596 
 01/25  01:30:00,20.4,20.4,22.865040656246348,22.865024919425868 
 01/25  01:31:00,20.4,20.400000000000003,22.86502492816615,22.865009191447674 
 01/25  01:32:00,20.4,20.4,22.865009200187843,22.864993463570696 
 01/25  01:33:00,20.4,20.4,22.86499347231077,22.864977735795646 
 01/25  01:34:00,20.4,20.4,22.864977744535609,22.864962008121837 
 01/25  01:35:00,20.4,20.4,22.864962016861698,22.864946280549959 
 01/25  01:36:00,20.4,20.399999999999996,22.864946289289717,22.864930553079323 
 01/25  01:37:00,20.4,20.4,22.864930561818974,22.864914825710618 
 01/25  01:38:00,20.4,20.4,22.864914834450166,22.86489909844315 
 01/25  01:39:00,20.4,20.399999999999996,22.864899107182596,22.864883371277594 
 01/25  01:40:00,20.4,20.400000000000003,22.864883380016928,22.864867644213264 
 01/25  01:41:00,20.4,20.4,22.864867652952488,22.864851917250829 
 01/25  01:42:00,20.4,20.4,22.864851925989958,22.864836190389604 
