Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.39473688652804,20.00004551212156,20.000045423399649 
 01/25  00:02:00,20.4,20.399946881177994,20.000045423399894,20.000045326370758 
 01/25  00:03:00,20.4,20.399999847180579,20.000045326370793,20.000045223709326 
 01/25  00:04:00,20.4,20.39999999984651,20.000045223709419,20.000045132225208 
 01/25  00:05:00,20.4,20.399999999999858,20.00004513222529,20.000045159775636 
 01/25  00:06:00,20.4,20.399999999999996,20.00004515977561,20.000045718142169 
 01/25  00:07:00,20.4,20.4,20.00004571814169,20.000047838049377 
 01/25  00:08:00,20.4,20.399999999999996,20.00004783804773,20.000053450638178 
 01/25  00:09:00,20.4,20.400000000000003,20.000053450634824,20.000065065454835 
 01/25  00:10:00,20.4,20.4,20.000065065451179,20.00008642304327 
 01/25  00:11:00,20.4,20.399999999999996,20.00008642304172,20.000122029158164 
 01/25  00:12:00,20.4,20.400000000000003,20.000122029143989,20.00017672638209 
 01/25  00:13:00,20.4,20.4,20.000176726337015,20.000255364105745 
 01/25  00:14:00,20.4,20.399999999999996,20.000255363999437,20.000362540014913 
 01/25  00:15:00,20.4,20.400000000000003,20.000362539802965,20.000502400404913 
 01/25  00:16:00,20.4,20.4,20.00050240002823,20.000678446191697 
 01/25  00:17:00,20.4,20.4,20.00067844557794,20.000893192039624 
 01/25  00:18:00,20.4,20.4,20.000893191109144,20.001148420815367 
 01/25  00:19:00,20.4,20.400000000000003,20.001148419479198,20.001431450009727 
 01/25  00:20:00,20.4,20.399999999999996,20.001431448392049,20.001760754568588 
 01/25  00:21:00,20.4,20.4,20.001760752224255,20.002122123220578 
 01/25  00:22:00,20.4,20.4,20.002122120451067,20.002533549667004 
 01/25  00:23:00,20.4,20.4,20.002533545848036,20.002975604322779 
 01/25  00:24:00,20.4,20.4,20.002975599968474,20.00346700559187 
 01/25  00:25:00,20.4,20.4,20.00346699987636,20.003985273474038 
 01/25  00:26:00,20.4,20.399999999999996,20.003985267147355,20.004550981247399 
 01/25  00:27:00,20.4,20.4,20.00455097324934,20.005139526251349 
 01/25  00:28:00,20.4,20.399999999999996,20.005139517544114,20.005744247658094 
 01/25  00:29:00,20.4,20.4,20.005744238095738,20.006400433735246 
 01/25  00:30:00,20.4,20.399999999999996,20.006400421856939,20.007079485453045 
 01/25  00:31:00,20.4,20.4,20.00707947268816,20.0077702811486 
 01/25  00:32:00,20.4,20.399999999999996,20.007770267362984,20.0084753047086 
 01/25  00:33:00,20.4,20.399999999999996,20.008475289705556,20.009198796549624 
 01/25  00:34:00,20.4,20.399999999999996,20.009198780157733,20.009942488391226 
 01/25  00:35:00,20.4,20.399999999999996,20.00994247050389,20.010705975158126 
 01/25  00:36:00,20.4,20.4,20.01070595572049,20.011487978817998 
 01/25  00:37:00,20.4,20.4,20.01148795780103,20.012287112957464 
 01/25  00:38:00,20.4,20.400000000000003,20.012287090341208,20.013102124991844 
 01/25  00:39:00,20.4,20.4,20.01310210075927,20.013931902333146 
 01/25  00:40:00,20.4,20.399999999999996,20.013931876469369,20.01477543094121 
 01/25  00:41:00,20.4,20.4,20.01477540343399,20.015631768521226 
 01/25  00:42:00,20.4,20.4,20.01563173936125,20.016500034823648 
 01/25  00:43:00,20.4,20.4,20.01650000400438,20.01737940895793 
 01/25  00:44:00,20.4,20.4,20.017379376475348,20.01826912738024 
 01/25  00:45:00,20.4,20.4,20.018269093232484,20.019168480824626 
 01/25  00:46:00,20.4,20.400000000000003,20.019168445011777,20.020076810461267 
 01/25  00:47:00,20.4,20.399999999999996,20.02007677298514,20.02099350385659 
 01/25  00:48:00,20.4,20.400000000000003,20.020993464720573,20.02191799107096 
 01/25  00:49:00,20.4,20.4,20.02191795027986,20.022849741011429 
 01/25  00:50:00,20.4,20.400000000000003,20.02284969857137,20.02378825805948 
 01/25  00:51:00,20.4,20.4,20.02378821397778,20.024733078968575 
 01/25  00:52:00,20.4,20.4,20.024733033253644,20.02568377002428 
 01/25  00:53:00,20.4,20.400000000000003,20.02568372268556,20.0266399244591 
 01/25  00:54:00,20.4,20.399999999999996,20.02663987550696,20.02760116011139 
 01/25  00:55:00,20.4,20.4,20.02760110955709,20.02856711731441 
 01/25  00:56:00,20.4,20.4,20.028567065170014,20.029537456998999 
 01/25  00:57:00,20.4,20.4,20.029537403277329,20.030511858992303 
 01/25  00:58:00,20.4,20.4,20.03051180370691,20.031490020494546 
 01/25  00:59:00,20.4,20.400000000000003,20.031489963659636,20.032471654716426 
 01/25  01:00:00,20.4,20.400000000000003,20.032471596346828,20.03345648966052 
 01/25  01:01:00,20.4,20.4,20.033456429771637,20.0344442670311 
 01/25  01:02:00,20.4,20.4,20.03444420563888,20.035434741258066 
 01/25  01:03:00,20.4,20.399999999999996,20.035434678378967,20.036427678621906 
 01/25  01:04:00,20.4,20.399999999999996,20.03642761427285,20.03742285646779 
 01/25  01:05:00,20.4,20.400000000000003,20.037422790666129,20.03842006249828 
 01/25  01:06:00,20.4,20.400000000000003,20.03841999526178,20.039419094135139 
 01/25  01:07:00,20.4,20.399999999999996,20.039419025481935,20.040419757941888 
 01/25  01:08:00,20.4,20.4,20.040419687890446,20.041421869099709 
 01/25  01:09:00,20.4,20.4,20.041421797668816,20.042425250930227 
 01/25  01:10:00,20.4,20.400000000000003,20.04242517813895,20.043429734459449 
 01/25  01:11:00,20.4,20.400000000000003,20.04342966032711,20.04443515801796 
 01/25  01:12:00,20.4,20.4,20.044435082564119,20.045441366873037 
 01/25  01:13:00,20.4,20.4,20.045441290117436,20.046448212888863 
 01/25  01:14:00,20.4,20.400000000000003,20.046448134851443,20.04745555421173 
 01/25  01:15:00,20.4,20.4,20.04745547491258,20.048463254977276 
 01/25  01:16:00,20.4,20.4,20.04846317443662,20.04947118503737 
 01/25  01:17:00,20.4,20.4,20.04947110327555,20.050479219704589 
 01/25  01:18:00,20.4,20.400000000000003,20.050479136742024,20.05148723951233 
 01/25  01:19:00,20.4,20.4,20.05148715536952,20.052495129989155 
 01/25  01:20:00,20.4,20.399999999999996,20.05249504468665,20.05350278144582 
 01/25  01:21:00,20.4,20.4,20.05350269500421,20.054510088773968 
 01/25  01:22:00,20.4,20.4,20.05451000121384,20.055516951255304 
 01/25  01:23:00,20.4,20.4,20.055516862597263,20.056523272380504 
 01/25  01:24:00,20.4,20.399999999999996,20.05652318264513,20.057528959676956 
 01/25  01:25:00,20.4,20.400000000000003,20.057528868884814,20.058533924544748 
 01/25  01:26:00,20.4,20.399999999999996,20.058533832716348,20.059538082100226 
 01/25  01:27:00,20.4,20.399999999999996,20.059537989256016,20.06054135102664 
 01/25  01:28:00,20.4,20.4,20.060541257187013,20.06154365343142 
 01/25  01:29:00,20.4,20.399999999999996,20.061543558616678,20.062544914709659 
 01/25  01:30:00,20.4,20.4,20.062544818940009,20.063545063413394 
 01/25  01:31:00,20.4,20.4,20.063544966708947,20.064544031126475 
 01/25  01:32:00,20.4,20.4,20.06454393350723,20.06554175234455 
 01/25  01:33:00,20.4,20.4,20.065541653830385,20.066538164360059 
 01/25  01:34:00,20.4,20.4,20.066538064970716,20.06753320715186 
 01/25  01:35:00,20.4,20.4,20.06753310690695,20.068526823279389 
 01/25  01:36:00,20.4,20.399999999999996,20.06852672219837,20.06951895778101 
 01/25  01:37:00,20.4,20.399999999999996,20.0695188558832,20.0705095580765 
 01/25  01:38:00,20.4,20.400000000000003,20.07050945538105,20.07149857387336 
 01/25  01:39:00,20.4,20.4,20.071498470399268,20.072485957076908 
 01/25  01:40:00,20.4,20.4,20.072485852842989,20.0734716617039 
 01/25  01:41:00,20.4,20.4,20.073471556728799,20.074455643799586 
 01/25  01:42:00,20.4,20.4,20.074455538101775,20.075437861358055 
 01/25  01:43:00,20.4,20.400000000000003,20.07543775495582,20.07641827424569 
 01/25  01:44:00,20.4,20.4,20.07641816715713,20.077396844127695 
 01/25  01:45:00,20.4,20.4,20.07739673637072,20.078373534397497 
 01/25  01:46:00,20.4,20.400000000000003,20.07837342598982,20.07934831010894 
 01/25  01:47:00,20.4,20.4,20.07934820106809,20.080321137911189 
 01/25  01:48:00,20.4,20.4,20.08032102825448,20.081291985986156 
 01/25  01:49:00,20.4,20.4,20.081291875730718,20.08226082398844 
 01/25  01:50:00,20.4,20.4,20.082260713151198,20.08322762298764 
 01/25  01:51:00,20.4,20.400000000000003,20.083227511585304,20.084192355412918 
 01/25  01:52:00,20.4,20.4,20.084192243462004,20.08515499499982 
 01/25  01:53:00,20.4,20.4,20.085154882516635,20.086115516739154 
 01/25  01:54:00,20.4,20.4,20.086115403739809,20.08707389682792 
 01/25  01:55:00,20.4,20.4,20.087073783328298,20.08803011262222 
 01/25  01:56:00,20.4,20.400000000000003,20.088029998638008,20.088984142591987 
 01/25  01:57:00,20.4,20.4,20.088984028138666,20.089935966277545 
 01/25  01:58:00,20.4,20.4,20.089935851370389,20.090885564247878 
 01/25  01:59:00,20.4,20.400000000000003,20.090885448901948,20.091832918060594 
 01/25  02:00:00,20.4,20.4,20.09183280229074,20.092778010223439 
 01/25  02:01:00,20.4,20.4,20.09277789404431,20.093720824157363 
 01/25  02:02:00,20.4,20.400000000000003,20.093720707583399,20.094661344161094 
 01/25  02:03:00,20.4,20.4,20.094661227206534,20.095599555377054 
 01/25  02:04:00,20.4,20.400000000000003,20.095599438055918,20.096535443758694 
 01/25  02:05:00,20.4,20.4,20.096535326084813,20.097468996039074 
 01/25  02:06:00,20.4,20.4,20.097468878026065,20.098400199700749 
 01/25  02:07:00,20.4,20.4,20.098400081362028,20.099329042946793 
 01/25  02:08:00,20.4,20.4,20.099328924295578,20.10025551467304 
 01/25  02:09:00,20.4,20.400000000000003,20.100255395722347,20.10117960444139 
 01/25  02:10:00,20.4,20.399999999999996,20.101179485204029,20.102101302454178 
 01/25  02:11:00,20.4,20.4,20.102101182942769,20.103020599529569 
 01/25  02:12:00,20.4,20.4,20.103020479756535,20.103937487077937 
 01/25  02:13:00,20.4,20.399999999999996,20.1039373670555,20.10485195707916 
 01/25  02:14:00,20.4,20.4,20.104851836819358,20.105764002060817 
 01/25  02:15:00,20.4,20.4,20.10576388157549,20.10667361507727 
 01/25  02:16:00,20.4,20.4,20.10667349437807,20.107580789689526 
 01/25  02:17:00,20.4,20.4,20.107580668787919,20.108485519945928 
 01/25  02:18:00,20.4,20.4,20.108485398853185,20.1093878003636 
 01/25  02:19:00,20.4,20.4,20.109387679090817,20.11028762591064 
 01/25  02:20:00,20.4,20.4,20.110287504468724,20.111184991988968 
 01/25  02:21:00,20.4,20.4,20.11118487038864,20.11207989441789 
 01/25  02:22:00,20.4,20.4,20.11207977266971,20.112972329418264 
 01/25  02:23:00,20.4,20.4,20.11297220753259,20.113862293597327 
 01/25  02:24:00,20.4,20.4,20.113862171584363,20.114749783934085 
 01/25  02:25:00,20.4,20.4,20.114749661803847,20.115634797765279 
 01/25  02:26:00,20.4,20.4,20.115634675527617,20.11651733277189 
 01/25  02:27:00,20.4,20.4,20.116517210436475,20.117397386966159 
 01/25  02:28:00,20.4,20.4,20.117397264542509,20.11827495867914 
 01/25  02:29:00,20.4,20.4,20.1182748361766,20.119150046548705 
 01/25  02:30:00,20.4,20.400000000000003,20.11914992397645,20.12002264950801 
 01/25  02:31:00,20.4,20.400000000000003,20.120022526875066,20.120892766774437 
 01/25  02:32:00,20.4,20.4,20.120892644089659,20.121760397838935 
 01/25  02:33:00,20.4,20.4,20.12176027511102,20.122625542455756 
 01/25  02:34:00,20.4,20.4,20.12262541969324,20.123488200632616 
 01/25  02:35:00,20.4,20.400000000000003,20.123488077843903,20.12434837262119 
 01/25  02:36:00,20.4,20.399999999999996,20.12434824981451,20.125206058907997 
 01/25  02:37:00,20.4,20.4,20.125205936091438,20.12606126020562 
 01/25  02:38:00,20.4,20.4,20.12606113738712,20.126913977444276 
 01/25  02:39:00,20.4,20.4,20.12691385463162,20.12776421176364 
 01/25  02:40:00,20.4,20.4,20.127764088964484,20.12861196450506 
 01/25  02:41:00,20.4,20.4,20.1286118417269,20.129457237204016 
 01/25  02:42:00,20.4,20.4,20.129457114454224,20.13030003158286 
 01/25  02:43:00,20.4,20.399999999999996,20.130299908868659,20.13114034954385 
 01/25  02:44:00,20.4,20.4,20.13114022687232,20.13197819316242 
 01/25  02:45:00,20.4,20.4,20.131978070540524,20.13281356468072 
 01/25  02:46:00,20.4,20.399999999999996,20.132813442115269,20.133646466501359 
 01/25  02:47:00,20.4,20.4,20.133646343999048,20.134476901181409 
 01/25  02:48:00,20.4,20.4,20.13447677874879,20.135304871426635 
 01/25  02:49:00,20.4,20.4,20.135304749070149,20.1361303800859 
 01/25  02:50:00,20.4,20.4,20.136130257811847,20.136953430145799 
 01/25  02:51:00,20.4,20.4,20.136953307960366,20.13777402472549 
 01/25  02:52:00,20.4,20.400000000000003,20.13777390263473,20.13859216707169 
 01/25  02:53:00,20.4,20.4,20.13859204508155,20.139407860553879 
 01/25  02:54:00,20.4,20.4,20.139407738670177,20.14022110865967 
 01/25  02:55:00,20.4,20.400000000000003,20.14022098688811,20.141031914990326 
 01/25  02:56:00,20.4,20.400000000000003,20.141031793336496,20.141840283256479 
 01/25  02:57:00,20.4,20.4,20.14184016172586,20.142646217273936 
 01/25  02:58:00,20.4,20.400000000000003,20.142646095871887,20.143449720959685 
 01/25  02:59:00,20.4,20.4,20.143449599691455,20.14425079832803 
 01/25  03:00:00,20.4,20.4,20.144250677198774,20.145049453486857 
 01/25  03:01:00,20.4,20.400000000000003,20.145049332501608,20.145845690634027 
 01/25  03:02:00,20.4,20.400000000000003,20.145845569797716,20.146639514053914 
 01/25  03:03:00,20.4,20.4,20.14663939337138,20.14743092811403 
 01/25  03:04:00,20.4,20.4,20.14743080759,20.148219937261833 
 01/25  03:05:00,20.4,20.399999999999996,20.148219816900935,20.14900654602157 
 01/25  03:06:00,20.4,20.399999999999996,20.14900642582833,20.14979075899128 
 01/25  03:07:00,20.4,20.399999999999996,20.149790638970136,20.150572580839876 
 01/25  03:08:00,20.4,20.400000000000003,20.150572460995155,20.151352016304349 
 01/25  03:09:00,20.4,20.4,20.1513518966403,20.152129070187045 
 01/25  03:10:00,20.4,20.4,20.152128950707817,20.152903747353038 
 01/25  03:11:00,20.4,20.399999999999996,20.152903628062686,20.153676052727599 
 01/25  03:12:00,20.4,20.4,20.153675933630095,20.15444599129375 
 01/25  03:13:00,20.4,20.399999999999996,20.154445872392978,20.155213568089903 
 01/25  03:14:00,20.4,20.400000000000003,20.155213449389654,20.155978788207574 
 01/25  03:15:00,20.4,20.4,20.155978669711549,20.15674165678917 
 01/25  03:16:00,20.4,20.399999999999996,20.156741538501,20.15750217902588 
 01/25  03:17:00,20.4,20.4,20.157502060949104,20.15826036015558 
 01/25  03:18:00,20.4,20.4,20.15826024229366,20.15901620546087 
 01/25  03:19:00,20.4,20.4,20.159016087817184,20.159769720267126 
 01/25  03:20:00,20.4,20.4,20.159769602844976,20.16052090994066 
 01/25  03:21:00,20.4,20.4,20.16052079274327,20.161269779886909 
 01/25  03:22:00,20.4,20.399999999999996,20.161269662917417,20.16201633554867 
 01/25  03:23:00,20.4,20.4,20.162016218810157,20.162760582404468 
 01/25  03:24:00,20.4,20.4,20.16276046589993,20.16350252596687 
 01/25  03:25:00,20.4,20.399999999999996,20.16350240969923,20.164242171780957 
 01/25  03:26:00,20.4,20.4,20.164242055753069,20.16497952542277 
 01/25  03:27:00,20.4,20.4,20.164979409637419,20.165714592497865 
 01/25  03:28:00,20.4,20.4,20.165714476957768,20.166447378639857 
 01/25  03:29:00,20.4,20.4,20.166447263347654,20.167177889509046 
 01/25  03:30:00,20.4,20.4,20.167177774467328,20.167906130791079 
 01/25  03:31:00,20.4,20.4,20.167906016002353,20.168632108195664 
 01/25  03:32:00,20.4,20.400000000000003,20.168631993662385,20.169355827455307 
 01/25  03:33:00,20.4,20.4,20.169355713179855,20.170077294324103 
 01/25  03:34:00,20.4,20.4,20.17007718030881,20.17079651457657 
 01/25  03:35:00,20.4,20.4,20.1707964008237,20.17151349400649 
 01/25  03:36:00,20.4,20.4,20.171513380518243,20.172228238425818 
 01/25  03:37:00,20.4,20.399999999999996,20.172228125204336,20.172940753663636 
 01/25  03:38:00,20.4,20.399999999999996,20.172940640711,20.173651045565117 
 01/25  03:39:00,20.4,20.4,20.173650932883367,20.174359119990517 
