Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.4,20.40238783607572,20.402384491735427 
 01/25  00:02:00,20.4,20.399999999999996,20.402384491752249,20.40238115218509 
 01/25  00:03:00,20.4,20.4,20.402381152201863,20.4023778174009 
 01/25  00:04:00,20.4,20.399999999999996,20.40237781741763,20.402374487375913 
 01/25  00:05:00,20.4,20.399999999999996,20.402374487392593,20.40237116210319 
 01/25  00:06:00,20.4,20.399999999999996,20.402371162119825,20.402367841575793 
 01/25  00:07:00,20.4,20.4,20.402367841592377,20.402364525786795 
 01/25  00:08:00,20.4,20.4,20.402364525803333,20.402361214729276 
 01/25  00:09:00,20.4,20.4,20.402361214745765,20.40235790839633 
 01/25  00:10:00,20.4,20.399999999999996,20.402357908412776,20.402354606781058 
 01/25  00:11:00,20.4,20.399999999999996,20.40235460679745,20.402351309876573 
 01/25  00:12:00,20.4,20.4,20.402351309892926,20.402348017676024 
 01/25  00:13:00,20.4,20.399999999999996,20.40234801769233,20.40234473017256 
 01/25  00:14:00,20.4,20.399999999999996,20.40234473018882,20.402341447359338 
 01/25  00:15:00,20.4,20.4,20.40234144737555,20.402338169229535 
 01/25  00:16:00,20.4,20.4,20.4023381692457,20.40233489577633 
 01/25  00:17:00,20.4,20.399999999999996,20.402334895792455,20.40233162699292 
 01/25  00:18:00,20.4,20.399999999999996,20.402331627008996,20.402328362872497 
 01/25  00:19:00,20.4,20.4,20.402328362888527,20.40232510340827 
 01/25  00:20:00,20.4,20.4,20.402325103424255,20.40232184859346 
 01/25  00:21:00,20.4,20.4,20.402321848609398,20.402318598421297 
 01/25  00:22:00,20.4,20.4,20.40231859843719,20.40231535288501 
 01/25  00:23:00,20.4,20.4,20.40231535290086,20.402312111977858 
 01/25  00:24:00,20.4,20.399999999999996,20.402312111993664,20.402308875693089 
 01/25  00:25:00,20.4,20.399999999999996,20.402308875708845,20.402305644023984 
 01/25  00:26:00,20.4,20.399999999999996,20.402305644039705,20.40230241696382 
 01/25  00:27:00,20.4,20.4,20.40230241697949,20.40229919450589 
 01/25  00:28:00,20.4,20.399999999999996,20.402299194521516,20.40229597664349 
 01/25  00:29:00,20.4,20.399999999999996,20.402295976659074,20.40229276336994 
 01/25  00:30:00,20.4,20.4,20.40229276338548,20.402289554678548 
 01/25  00:31:00,20.4,20.399999999999996,20.40228955469404,20.402286350562635 
 01/25  00:32:00,20.4,20.400000000000003,20.402286350578085,20.40228315101553 
 01/25  00:33:00,20.4,20.4,20.40228315103094,20.40227995603058 
 01/25  00:34:00,20.4,20.4,20.40227995604594,20.40227676560112 
 01/25  00:35:00,20.4,20.4,20.40227676561644,20.40227357972051 
 01/25  00:36:00,20.4,20.399999999999996,20.402273579735785,20.402270398382109 
 01/25  00:37:00,20.4,20.399999999999996,20.40227039839734,20.40226722157928 
 01/25  00:38:00,20.4,20.399999999999996,20.402267221594469,20.402264049305406 
 01/25  00:39:00,20.4,20.399999999999996,20.40226404932055,20.402260881553884 
 01/25  00:40:00,20.4,20.399999999999996,20.402260881568986,20.40225771831811 
 01/25  00:41:00,20.4,20.400000000000003,20.40225771833317,20.402254559591513 
 01/25  00:42:00,20.4,20.4,20.402254559606534,20.402251405367517 
 01/25  00:43:00,20.4,20.4,20.40225140538249,20.402248255639568 
 01/25  00:44:00,20.4,20.399999999999996,20.402248255654503,20.40224511040113 
 01/25  00:45:00,20.4,20.399999999999996,20.402245110416023,20.402241969645659 
 01/25  00:46:00,20.4,20.4,20.40224196966051,20.40223883336663 
 01/25  00:47:00,20.4,20.399999999999996,20.402238833381447,20.402235701557527 
 01/25  00:48:00,20.4,20.400000000000003,20.40223570157229,20.402232574211828 
 01/25  00:49:00,20.4,20.399999999999996,20.402232574226557,20.402229451323046 
 01/25  00:50:00,20.4,20.4,20.40222945133773,20.402226332884696 
 01/25  00:51:00,20.4,20.399999999999996,20.402226332899333,20.40222321889031 
 01/25  00:52:00,20.4,20.399999999999996,20.402223218904909,20.402220109333429 
 01/25  00:53:00,20.4,20.399999999999996,20.402220109347984,20.40221700420761 
 01/25  00:54:00,20.4,20.4,20.402217004222128,20.402213903506416 
 01/25  00:55:00,20.4,20.4,20.40221390352089,20.402210807223413 
 01/25  00:56:00,20.4,20.4,20.402210807237848,20.402207715352185 
 01/25  00:57:00,20.4,20.399999999999996,20.40220771536658,20.402204627886318 
 01/25  00:58:00,20.4,20.4,20.40220462790067,20.40220154481941 
 01/25  00:59:00,20.4,20.399999999999996,20.40220154483372,20.402198466145074 
 01/25  01:00:00,20.4,20.399999999999996,20.402198466159349,20.402195391856919 
 01/25  01:01:00,20.4,20.399999999999996,20.40219539187115,20.402192321948566 
 01/25  01:02:00,20.4,20.399999999999996,20.402192321962759,20.40218925641365 
 01/25  01:03:00,20.4,20.400000000000003,20.4021892564278,20.402186195245805 
 01/25  01:04:00,20.4,20.399999999999996,20.402186195259917,20.40218313843868 
 01/25  01:05:00,20.4,20.4,20.402183138452754,20.40218008598593 
 01/25  01:06:00,20.4,20.4,20.40218008599996,20.402177037881218 
 01/25  01:07:00,20.4,20.4,20.40217703789521,20.402173994118216 
 01/25  01:08:00,20.4,20.399999999999996,20.40217399413217,20.402170954690605 
 01/25  01:09:00,20.4,20.4,20.40217095470452,20.402167919592079 
 01/25  01:10:00,20.4,20.399999999999996,20.40216791960595,20.40216488881633 
 01/25  01:11:00,20.4,20.4,20.402164888830169,20.402161862357067 
 01/25  01:12:00,20.4,20.4,20.402161862370858,20.402158840208008 
 01/25  01:13:00,20.4,20.399999999999996,20.402158840221767,20.40215582236288 
 01/25  01:14:00,20.4,20.4,20.402155822376597,20.40215280881543 
 01/25  01:15:00,20.4,20.399999999999996,20.402152808829109,20.40214979955941 
 01/25  01:16:00,20.4,20.399999999999996,20.402149799573054,20.40214679458858 
 01/25  01:17:00,20.4,20.39999999999999,20.402146794602179,20.402143793896724 
 01/25  01:18:00,20.4,20.399999999999996,20.402143793910289,20.402140797477619 
 01/25  01:19:00,20.4,20.399999999999996,20.402140797491147,20.40213780532508 
 01/25  01:20:00,20.4,20.4,20.40213780533857,20.402134817432914 
 01/25  01:21:00,20.4,20.4,20.402134817446365,20.402131833794948 
 01/25  01:22:00,20.4,20.399999999999996,20.402131833808356,20.402128854405008 
 01/25  01:23:00,20.4,20.399999999999996,20.40212885441838,20.402125879256916 
 01/25  01:24:00,20.4,20.4,20.402125879270249,20.402122908344503 
 01/25  01:25:00,20.4,20.4,20.4021229083578,20.402119941661597 
 01/25  01:26:00,20.4,20.4,20.402119941674856,20.402116979202029 
 01/25  01:27:00,20.4,20.399999999999996,20.40211697921525,20.40211402095964 
 01/25  01:28:00,20.4,20.4,20.402114020972826,20.402111066928279 
 01/25  01:29:00,20.4,20.4,20.40211106694143,20.40210811710181 
 01/25  01:30:00,20.4,20.399999999999996,20.40210811711492,20.40210517147413 
 01/25  01:31:00,20.4,20.4,20.402105171487205,20.402102230039139 
 01/25  01:32:00,20.4,20.399999999999996,20.402102230052177,20.402099292790767 
