Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.40324819575957 
 01/25  00:02:00,20.4,20.40324819575931 
 01/25  00:03:00,20.4,20.40324819575906 
 01/25  00:04:00,20.4,20.403248195758814 
 01/25  00:05:00,20.4,20.403248195758576 
 01/25  00:06:00,20.4,20.403248195758346 
 01/25  00:07:00,20.4,20.403248195758125 
 01/25  00:08:00,20.4,20.403248195757916 
 01/25  00:09:00,20.4,20.403248195757706 
 01/25  00:10:00,20.4,20.40324819575749 
 01/25  00:11:00,20.4,20.403248195757276 
 01/25  00:12:00,20.4,20.40324819575705 
 01/25  00:13:00,20.4,20.403248195756814 
 01/25  00:14:00,20.4,20.403248195756559 
 01/25  00:15:00,20.4,20.403248195756285 
 01/25  00:16:00,20.4,20.403248195756 
 01/25  00:17:00,20.4,20.403248195755706 
 01/25  00:18:00,20.4,20.4032481957554 
 01/25  00:19:00,20.4,20.403248195755098 
 01/25  00:20:00,20.4,20.403248195754796 
 01/25  00:21:00,20.4,20.4032481957545 
 01/25  00:22:00,20.4,20.40324819575422 
 01/25  00:23:00,20.4,20.403248195753954 
 01/25  00:24:00,20.4,20.403248195753699 
 01/25  00:25:00,20.4,20.403248195753453 
 01/25  00:26:00,20.4,20.403248195753219 
 01/25  00:27:00,20.4,20.40324819575299 
 01/25  00:28:00,20.4,20.403248195752768 
 01/25  00:29:00,20.4,20.40324819575255 
 01/25  00:30:00,20.4,20.403248195752345 
 01/25  00:31:00,20.4,20.40324819575215 
 01/25  00:32:00,20.4,20.403248195751965 
 01/25  00:33:00,20.4,20.403248195751794 
 01/25  00:34:00,20.4,20.403248195751634 
 01/25  00:35:00,20.4,20.403248195751485 
 01/25  00:36:00,20.4,20.403248195751329 
 01/25  00:37:00,20.4,20.403248195751165 
 01/25  00:38:00,20.4,20.40324819575099 
 01/25  00:39:00,20.4,20.403248195750789 
 01/25  00:40:00,20.4,20.403248195750554 
 01/25  00:41:00,20.4,20.403248195750288 
 01/25  00:42:00,20.4,20.403248195749979 
