Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.401299818921252 
 01/25  00:02:00,20.4,20.401299818921302 
 01/25  00:03:00,20.4,20.40129981892139 
 01/25  00:04:00,20.4,20.40129981892153 
 01/25  00:05:00,20.4,20.401299818921718 
 01/25  00:06:00,20.4,20.40129981892196 
 01/25  00:07:00,20.4,20.401299818922247 
 01/25  00:08:00,20.4,20.401299818922578 
 01/25  00:09:00,20.4,20.40129981892295 
 01/25  00:10:00,20.4,20.401299818923363 
 01/25  00:11:00,20.4,20.401299818923807 
 01/25  00:12:00,20.4,20.401299818924272 
 01/25  00:13:00,20.4,20.401299818924745 
 01/25  00:14:00,20.4,20.401299818925217 
 01/25  00:15:00,20.4,20.401299818925672 
 01/25  00:16:00,20.4,20.4012998189261 
 01/25  00:17:00,20.4,20.40129981892649 
 01/25  00:18:00,20.4,20.401299818926837 
 01/25  00:19:00,20.4,20.40129981892715 
 01/25  00:20:00,20.4,20.40129981892742 
 01/25  00:21:00,20.4,20.401299818927658 
 01/25  00:22:00,20.4,20.401299818927868 
 01/25  00:23:00,20.4,20.40129981892805 
 01/25  00:24:00,20.4,20.4012998189282 
 01/25  00:25:00,20.4,20.401299818928333 
 01/25  00:26:00,20.4,20.401299818928436 
 01/25  00:27:00,20.4,20.401299818928514 
 01/25  00:28:00,20.4,20.401299818928575 
 01/25  00:29:00,20.4,20.401299818928624 
 01/25  00:30:00,20.4,20.40129981892868 
 01/25  00:31:00,20.4,20.401299818928756 
 01/25  00:32:00,20.4,20.40129981892886 
 01/25  00:33:00,20.4,20.401299818929 
 01/25  00:34:00,20.4,20.401299818929186 
 01/25  00:35:00,20.4,20.401299818929417 
 01/25  00:36:00,20.4,20.401299818929708 
 01/25  00:37:00,20.4,20.401299818930053 
 01/25  00:38:00,20.4,20.401299818930458 
 01/25  00:39:00,20.4,20.40129981893093 
 01/25  00:40:00,20.4,20.401299818931463 
 01/25  00:41:00,20.4,20.40129981893206 
 01/25  00:42:00,20.4,20.401299818932706 
 01/25  00:43:00,20.4,20.401299818933396 
 01/25  00:44:00,20.4,20.401299818934124 
 01/25  00:45:00,20.4,20.401299818934888 
 01/25  00:46:00,20.4,20.401299818935673 
 01/25  00:47:00,20.4,20.40129981893648 
 01/25  00:48:00,20.4,20.4012998189373 
 01/25  00:49:00,20.4,20.401299818938135 
 01/25  00:50:00,20.4,20.401299818938988 
 01/25  00:51:00,20.4,20.401299818939858 
 01/25  00:52:00,20.4,20.401299818940743 
 01/25  00:53:00,20.4,20.401299818941634 
 01/25  00:54:00,20.4,20.401299818942533 
 01/25  00:55:00,20.4,20.401299818943443 
 01/25  00:56:00,20.4,20.40129981894435 
 01/25  00:57:00,20.4,20.401299818945247 
 01/25  00:58:00,20.4,20.40129981894613 
 01/25  00:59:00,20.4,20.40129981894698 
 01/25  01:00:00,20.4,20.401299818947795 
 01/25  01:01:00,20.4,20.401299818948562 
 01/25  01:02:00,20.4,20.401299818949283 
 01/25  01:03:00,20.4,20.401299818949955 
 01/25  01:04:00,20.4,20.40129981895058 
 01/25  01:05:00,20.4,20.401299818951163 
 01/25  01:06:00,20.4,20.40129981895171 
 01/25  01:07:00,20.4,20.401299818952218 
 01/25  01:08:00,20.4,20.401299818952698 
 01/25  01:09:00,20.4,20.401299818953156 
 01/25  01:10:00,20.4,20.401299818953586 
 01/25  01:11:00,20.4,20.40129981895399 
 01/25  01:12:00,20.4,20.40129981895438 
 01/25  01:13:00,20.4,20.401299818954747 
 01/25  01:14:00,20.4,20.401299818955085 
 01/25  01:15:00,20.4,20.40129981895539 
 01/25  01:16:00,20.4,20.401299818955657 
 01/25  01:17:00,20.4,20.401299818955884 
 01/25  01:18:00,20.4,20.401299818956076 
 01/25  01:19:00,20.4,20.401299818956236 
 01/25  01:20:00,20.4,20.401299818956357 
 01/25  01:21:00,20.4,20.401299818956435 
 01/25  01:22:00,20.4,20.401299818956478 
 01/25  01:23:00,20.4,20.401299818956485 
 01/25  01:24:00,20.4,20.401299818956463 
 01/25  01:25:00,20.4,20.40129981895643 
 01/25  01:26:00,20.4,20.40129981895639 
 01/25  01:27:00,20.4,20.401299818956353 
 01/25  01:28:00,20.4,20.401299818956335 
 01/25  01:29:00,20.4,20.401299818956346 
 01/25  01:30:00,20.4,20.401299818956392 
 01/25  01:31:00,20.4,20.401299818956478 
 01/25  01:32:00,20.4,20.401299818956602 
 01/25  01:33:00,20.4,20.401299818956762 
 01/25  01:34:00,20.4,20.401299818956954 
 01/25  01:35:00,20.4,20.401299818957174 
 01/25  01:36:00,20.4,20.40129981895743 
 01/25  01:37:00,20.4,20.40129981895772 
 01/25  01:38:00,20.4,20.40129981895804 
 01/25  01:39:00,20.4,20.401299818958403 
 01/25  01:40:00,20.4,20.401299818958794 
 01/25  01:41:00,20.4,20.401299818959217 
 01/25  01:42:00,20.4,20.401299818959657 
 01/25  01:43:00,20.4,20.401299818960112 
 01/25  01:44:00,20.4,20.401299818960574 
 01/25  01:45:00,20.4,20.401299818961043 
 01/25  01:46:00,20.4,20.401299818961512 
 01/25  01:47:00,20.4,20.401299818961984 
 01/25  01:48:00,20.4,20.401299818962453 
 01/25  01:49:00,20.4,20.40129981896292 
 01/25  01:50:00,20.4,20.40129981896339 
 01/25  01:51:00,20.4,20.401299818963867 
 01/25  01:52:00,20.4,20.401299818964354 
 01/25  01:53:00,20.4,20.40129981896485 
 01/25  01:54:00,20.4,20.401299818965363 
 01/25  01:55:00,20.4,20.40129981896589 
 01/25  01:56:00,20.4,20.401299818966432 
 01/25  01:57:00,20.4,20.40129981896699 
 01/25  01:58:00,20.4,20.401299818967566 
 01/25  01:59:00,20.4,20.401299818968162 
 01/25  02:00:00,20.4,20.401299818968777 
 01/25  02:01:00,20.4,20.401299818969413 
 01/25  02:02:00,20.4,20.401299818970077 
 01/25  02:03:00,20.4,20.401299818970767 
 01/25  02:04:00,20.4,20.40129981897147 
 01/25  02:05:00,20.4,20.40129981897218 
 01/25  02:06:00,20.4,20.401299818972884 
 01/25  02:07:00,20.4,20.401299818973563 
 01/25  02:08:00,20.4,20.401299818974206 
 01/25  02:09:00,20.4,20.401299818974802 
 01/25  02:10:00,20.4,20.40129981897535 
 01/25  02:11:00,20.4,20.401299818975858 
 01/25  02:12:00,20.4,20.40129981897633 
 01/25  02:13:00,20.4,20.401299818976778 
 01/25  02:14:00,20.4,20.4012998189772 
 01/25  02:15:00,20.4,20.40129981897761 
 01/25  02:16:00,20.4,20.401299818978003 
 01/25  02:17:00,20.4,20.401299818978384 
 01/25  02:18:00,20.4,20.40129981897875 
 01/25  02:19:00,20.4,20.40129981897911 
 01/25  02:20:00,20.4,20.40129981897946 
 01/25  02:21:00,20.4,20.4012998189798 
 01/25  02:22:00,20.4,20.40129981898013 
 01/25  02:23:00,20.4,20.401299818980444 
 01/25  02:24:00,20.4,20.401299818980743 
 01/25  02:25:00,20.4,20.401299818981016 
 01/25  02:26:00,20.4,20.40129981898126 
 01/25  02:27:00,20.4,20.401299818981474 
 01/25  02:28:00,20.4,20.401299818981638 
 01/25  02:29:00,20.4,20.40129981898173 
 01/25  02:30:00,20.4,20.401299818981744 
 01/25  02:31:00,20.4,20.40129981898167 
 01/25  02:32:00,20.4,20.401299818981496 
 01/25  02:33:00,20.4,20.40129981898122 
 01/25  02:34:00,20.4,20.401299818980853 
 01/25  02:35:00,20.4,20.4012998189804 
 01/25  02:36:00,20.4,20.401299818979883 
 01/25  02:37:00,20.4,20.401299818979318 
 01/25  02:38:00,20.4,20.40129981897871 
 01/25  02:39:00,20.4,20.401299818978067 
 01/25  02:40:00,20.4,20.401299818977403 
 01/25  02:41:00,20.4,20.401299818976725 
 01/25  02:42:00,20.4,20.401299818976046 
