Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,19.305833670860666 
 01/25  00:02:00,20.4,19.305833670860545 
 01/25  00:03:00,20.4,19.30583367086039 
 01/25  00:04:00,20.4,19.305833670860215 
 01/25  00:05:00,20.4,19.30583367086003 
 01/25  00:06:00,20.4,19.30583367085985 
 01/25  00:07:00,20.4,19.305833670859689 
 01/25  00:08:00,20.4,19.305833670859557 
 01/25  00:09:00,20.4,19.30583367085946 
 01/25  00:10:00,20.4,19.305833670859415 
 01/25  00:11:00,20.4,19.305833670859419 
 01/25  00:12:00,20.4,19.305833670859465 
 01/25  00:13:00,20.4,19.30583367085955 
 01/25  00:14:00,20.4,19.305833670859668 
 01/25  00:15:00,20.4,19.305833670859813 
 01/25  00:16:00,20.4,19.305833670859987 
 01/25  00:17:00,20.4,19.305833670860193 
 01/25  00:18:00,20.4,19.305833670860424 
 01/25  00:19:00,20.4,19.305833670860687 
 01/25  00:20:00,20.4,19.305833670860989 
 01/25  00:21:00,20.4,19.305833670861327 
 01/25  00:22:00,20.4,19.30583367086171 
 01/25  00:23:00,20.4,19.305833670862137 
 01/25  00:24:00,20.4,19.305833670862606 
 01/25  00:25:00,20.4,19.305833670863114 
 01/25  00:26:00,20.4,19.305833670863654 
 01/25  00:27:00,20.4,19.305833670864215 
 01/25  00:28:00,20.4,19.30583367086478 
 01/25  00:29:00,20.4,19.30583367086534 
 01/25  00:30:00,20.4,19.305833670865885 
 01/25  00:31:00,20.4,19.3058336708664 
 01/25  00:32:00,20.4,19.305833670866869 
 01/25  00:33:00,20.4,19.30583367086729 
 01/25  00:34:00,20.4,19.305833670867668 
 01/25  00:35:00,20.4,19.305833670867995 
 01/25  00:36:00,20.4,19.305833670868279 
 01/25  00:37:00,20.4,19.305833670868517 
 01/25  00:38:00,20.4,19.305833670868709 
 01/25  00:39:00,20.4,19.30583367086886 
 01/25  00:40:00,20.4,19.305833670868979 
 01/25  00:41:00,20.4,19.30583367086906 
 01/25  00:42:00,20.4,19.305833670869104 
 01/25  00:43:00,20.4,19.305833670869107 
 01/25  00:44:00,20.4,19.305833670869075 
 01/25  00:45:00,20.4,19.305833670868997 
 01/25  00:46:00,20.4,19.305833670868887 
 01/25  00:47:00,20.4,19.30583367086874 
 01/25  00:48:00,20.4,19.305833670868564 
 01/25  00:49:00,20.4,19.305833670868354 
 01/25  00:50:00,20.4,19.30583367086812 
 01/25  00:51:00,20.4,19.305833670867874 
 01/25  00:52:00,20.4,19.305833670867615 
 01/25  00:53:00,20.4,19.305833670867334 
 01/25  00:54:00,20.4,19.305833670867036 
 01/25  00:55:00,20.4,19.30583367086672 
 01/25  00:56:00,20.4,19.30583367086638 
 01/25  00:57:00,20.4,19.305833670866027 
 01/25  00:58:00,20.4,19.30583367086565 
 01/25  00:59:00,20.4,19.305833670865249 
 01/25  01:00:00,20.4,19.305833670864826 
 01/25  01:01:00,20.4,19.305833670864386 
 01/25  01:02:00,20.4,19.305833670863934 
 01/25  01:03:00,20.4,19.305833670863483 
 01/25  01:04:00,20.4,19.305833670863039 
 01/25  01:05:00,20.4,19.305833670862609 
 01/25  01:06:00,20.4,19.305833670862208 
 01/25  01:07:00,20.4,19.305833670861845 
 01/25  01:08:00,20.4,19.305833670861526 
 01/25  01:09:00,20.4,19.305833670861256 
 01/25  01:10:00,20.4,19.305833670861046 
 01/25  01:11:00,20.4,19.30583367086088 
 01/25  01:12:00,20.4,19.305833670860765 
 01/25  01:13:00,20.4,19.30583367086068 
 01/25  01:14:00,20.4,19.30583367086062 
 01/25  01:15:00,20.4,19.30583367086057 
 01/25  01:16:00,20.4,19.30583367086053 
 01/25  01:17:00,20.4,19.305833670860485 
 01/25  01:18:00,20.4,19.305833670860424 
 01/25  01:19:00,20.4,19.30583367086034 
 01/25  01:20:00,20.4,19.305833670860247 
 01/25  01:21:00,20.4,19.305833670860137 
 01/25  01:22:00,20.4,19.305833670860026 
 01/25  01:23:00,20.4,19.30583367085993 
 01/25  01:24:00,20.4,19.305833670859856 
 01/25  01:25:00,20.4,19.30583367085981 
 01/25  01:26:00,20.4,19.305833670859799 
 01/25  01:27:00,20.4,19.305833670859835 
 01/25  01:28:00,20.4,19.305833670859909 
 01/25  01:29:00,20.4,19.305833670860019 
 01/25  01:30:00,20.4,19.30583367086016 
 01/25  01:31:00,20.4,19.305833670860325 
 01/25  01:32:00,20.4,19.3058336708605 
 01/25  01:33:00,20.4,19.305833670860694 
 01/25  01:34:00,20.4,19.3058336708609 
 01/25  01:35:00,20.4,19.305833670861117 
 01/25  01:36:00,20.4,19.305833670861344 
 01/25  01:37:00,20.4,19.3058336708616 
 01/25  01:38:00,20.4,19.305833670861884 
 01/25  01:39:00,20.4,19.305833670862197 
 01/25  01:40:00,20.4,19.305833670862535 
 01/25  01:41:00,20.4,19.30583367086289 
 01/25  01:42:00,20.4,19.305833670863256 
 01/25  01:43:00,20.4,19.30583367086363 
 01/25  01:44:00,20.4,19.305833670864 
 01/25  01:45:00,20.4,19.305833670864368 
 01/25  01:46:00,20.4,19.305833670864737 
 01/25  01:47:00,20.4,19.305833670865107 
 01/25  01:48:00,20.4,19.305833670865469 
 01/25  01:49:00,20.4,19.30583367086582 
 01/25  01:50:00,20.4,19.30583367086616 
 01/25  01:51:00,20.4,19.30583367086649 
 01/25  01:52:00,20.4,19.305833670866816 
 01/25  01:53:00,20.4,19.30583367086712 
 01/25  01:54:00,20.4,19.305833670867405 
 01/25  01:55:00,20.4,19.305833670867658 
 01/25  01:56:00,20.4,19.305833670867867 
 01/25  01:57:00,20.4,19.305833670868045 
 01/25  01:58:00,20.4,19.305833670868198 
 01/25  01:59:00,20.4,19.305833670868318 
 01/25  02:00:00,20.4,19.305833670868407 
 01/25  02:01:00,20.4,19.305833670868464 
 01/25  02:02:00,20.4,19.30583367086849 
 01/25  02:03:00,20.4,19.305833670868496 
 01/25  02:04:00,20.4,19.30583367086847 
 01/25  02:05:00,20.4,19.305833670868414 
 01/25  02:06:00,20.4,19.305833670868318 
 01/25  02:07:00,20.4,19.30583367086818 
 01/25  02:08:00,20.4,19.305833670868006 
 01/25  02:09:00,20.4,19.305833670867807 
 01/25  02:10:00,20.4,19.305833670867587 
 01/25  02:11:00,20.4,19.30583367086735 
 01/25  02:12:00,20.4,19.305833670867118 
 01/25  02:13:00,20.4,19.305833670866887 
 01/25  02:14:00,20.4,19.30583367086667 
 01/25  02:15:00,20.4,19.305833670866475 
 01/25  02:16:00,20.4,19.3058336708663 
 01/25  02:17:00,20.4,19.30583367086615 
 01/25  02:18:00,20.4,19.305833670866034 
 01/25  02:19:00,20.4,19.30583367086594 
 01/25  02:20:00,20.4,19.305833670865878 
 01/25  02:21:00,20.4,19.30583367086584 
 01/25  02:22:00,20.4,19.305833670865846 
 01/25  02:23:00,20.4,19.305833670865878 
 01/25  02:24:00,20.4,19.305833670865945 
 01/25  02:25:00,20.4,19.305833670866048 
 01/25  02:26:00,20.4,19.305833670866176 
 01/25  02:27:00,20.4,19.305833670866318 
 01/25  02:28:00,20.4,19.305833670866475 
 01/25  02:29:00,20.4,19.305833670866638 
 01/25  02:30:00,20.4,19.305833670866805 
 01/25  02:31:00,20.4,19.305833670866965 
 01/25  02:32:00,20.4,19.305833670867128 
 01/25  02:33:00,20.4,19.30583367086728 
 01/25  02:34:00,20.4,19.305833670867423 
 01/25  02:35:00,20.4,19.30583367086755 
 01/25  02:36:00,20.4,19.30583367086766 
 01/25  02:37:00,20.4,19.305833670867754 
 01/25  02:38:00,20.4,19.305833670867828 
 01/25  02:39:00,20.4,19.305833670867896 
 01/25  02:40:00,20.4,19.305833670867956 
