Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,18.835049967132325,20.4,19.71304222504595,18.856528555567093,13.0,40.86574411646646,-1.2441156776222673,18.81302741272435,18.81296419920052,6.6,0.6651163792079067,-14.435710202479497,18.856528555567093,19.71304222504595,6.6,-0.6486877364714797,1.2524293213897806,20.400000000000003,18.835050340548866,18.8349937073253 
 01/25  00:02:00,18.8349937073253,20.4,19.713040559337516,18.85647363878367,13.0,40.865843206130069,-1.2441933351542983,18.81296983228888,18.81290662080397,6.6,0.6651562642999727,-14.435244830682569,18.85647363878367,19.713040559337516,6.6,-0.6487282979330877,1.2525066338173963,20.399999999999996,18.834994080714418,18.834937449835239 
 01/25  00:03:00,18.834937449835239,20.4,19.71303889371504,18.856418724263106,13.0,40.86594229067936,-1.2442709895131477,18.81291225422368,18.81284904477747,6.6,0.6651961477820376,-14.434779510919145,18.856418724263106,19.71303889371504,6.6,-0.64876885776066,1.2525839430877302,20.399999999999996,18.83493782319693,18.834881194662058 
 01/25  00:04:00,18.834881194662058,20.4,19.71303722817843,18.85636381200531,13.0,40.866041370121319,-1.2443486406978728,18.812854678528514,18.812791471121068,6.6,0.6652360296588226,-14.434314175561277,18.85636381200531,19.71303722817843,6.6,-0.648809415953982,1.2526612492000995,20.4,18.834881567996339,18.834824941805658 
 01/25  00:05:00,18.834824941805658,20.4,19.713035562727688,18.856308902010164,13.0,40.86614044445531,-1.2444262887083114,18.812797105203438,18.812733899834517,6.6,0.6652759099256066,-14.433848894455175,18.856308902010164,19.713035562727688,6.6,-0.6488499725124098,1.2527385521545367,20.4,18.834825315112526,18.834768691265955 
 01/25  00:06:00,18.834768691265955,20.4,19.713033897363073,18.856253994277606,13.0,40.86623951366548,-1.2445039335467716,18.812739534248196,18.812676330917879,6.6,0.6653157885875397,-14.433383595182607,18.856253994277606,19.713033897363073,6.6,-0.6488905274366946,1.252815851950229,20.4,18.83476906454541,18.834712443042848 
 01/25  00:07:00,18.834712443042848,20.4,19.713032232084424,18.856199088807477,13.0,40.86633857776176,-1.2445815752093193,18.812681965662855,18.812618764370904,6.6,0.665355665639579,-14.432918350787121,18.856199088807477,19.713032232084424,6.6,-0.6489310807250124,1.2528931485873718,20.4,18.834712816294894,18.83465619713624 
 01/25  00:08:00,18.83465619713624,20.4,19.713030566891637,18.856144185599719,13.0,40.86643763675029,-1.2446592136942636,18.812624399447164,18.812561200193654,6.6,0.6653955410864458,-14.432453089380087,18.856144185599719,19.713030566891637,6.6,-0.6489716323785434,1.2529704420650217,20.400000000000003,18.834656570360875,18.834599953546037 
 01/25  00:09:00,18.834599953546037,20.4,19.713028901784928,18.856089284654204,13.0,40.866536690618378,-1.2447368490048885,18.81256683560118,18.812503638385875,6.6,0.6654354149233116,-14.43198788187418,18.856089284654204,19.713028901784928,6.6,-0.6490121823964291,1.2530477323834062,20.399999999999996,18.83460032674327,18.83454371227214 
 01/25  00:10:00,18.83454371227214,20.4,19.713027236764256,18.856034385970849,13.0,40.866635739367719,-1.2448144811411944,18.81250927412466,18.81244607894763,6.6,0.6654752871548973,-14.431522657448282,18.856034385970849,19.713027236764256,6.6,-0.6490527307788843,1.2531250195422657,20.4,18.834544085441974,18.834487473314455 
 01/25  00:11:00,18.834487473314455,20.4,19.713025571829385,18.855979489549545,13.0,40.86673478301353,-1.2448921101013273,18.81245171501766,18.81238852187867,6.6,0.665515157776482,-14.43105748648236,18.855979489549545,19.713025571829385,6.6,-0.6490932775256942,1.2532023035418277,20.4,18.83448784645688,18.83443123667288 
 01/25  00:12:00,18.83443123667288,20.4,19.71302390698039,18.85592459539023,13.0,40.86683382155052,-1.2449697358879866,18.81239415827993,18.812330967179056,6.6,0.6655550267925722,-14.430592299751357,18.85592459539023,19.71302390698039,6.6,-0.6491338226379321,1.2532795843817666,20.400000000000003,18.834431609787907,18.834375002347327 
 01/25  00:13:00,18.834375002347327,20.4,19.713022242217403,18.855869703492766,13.0,40.8669328549713,-1.2450473585042606,18.812336603911527,18.812273414848538,6.6,0.6655948941986613,-14.430127164439984,18.855869703492766,19.713022242217403,6.6,-0.6491743661140954,1.2533568620627005,20.4,18.834375375434957,18.834318770337693 
 01/25  00:14:00,18.834318770337693,20.4,19.713020577540325,18.85581481385708,13.0,40.86703188328116,-1.245124977950182,18.812279051912215,18.812215864887166,6.6,0.6656347599989341,-14.429662017716824,18.85581481385708,19.713020577540325,6.6,-0.6492149079551501,1.2534341365835567,20.4,18.834319143397928,18.834262540643889 
 01/25  00:15:00,18.834262540643889,20.4,19.713018912949126,18.855759926483047,13.0,40.86713090648241,-1.2452025942263363,18.812221502282026,18.812158317294715,6.6,0.6656746241896349,-14.429196916110176,18.855759926483047,19.713018912949126,6.6,-0.6492554481599159,1.2535114079442696,20.4,18.83426291367673,18.83420631326581 
 01/25  00:16:00,18.83420631326581,20.4,19.713017248443724,18.855705041370539,13.0,40.86722992457971,-1.2452802073317154,18.81216395502075,18.812100772071209,6.6,0.6657144867739828,-14.428731807977748,18.855705041370539,19.713017248443724,6.6,-0.6492959867277488,1.2535886761446769,20.399999999999996,18.834206686271267,18.834150088203363 
 01/25  00:17:00,18.834150088203363,20.4,19.713015584024043,18.85565015851952,13.0,40.86732893757749,-1.2453578172646934,18.812106410128405,18.81204322921644,6.6,0.6657543477486515,-14.428266743453163,18.85565015851952,19.713015584024043,6.6,-0.6493365236604731,1.2536659411838358,20.399999999999996,18.83415046118143,18.83409386545645 
 01/25  00:18:00,18.83409386545645,20.4,19.713013919690295,18.85559527792986,13.0,40.867427945463507,-1.2454354240272539,18.812048867604785,18.811985688730429,6.6,0.66579420711686,-14.427801671428928,18.85559527792986,19.713013919690295,6.6,-0.6493770589570158,1.2537432030625915,20.4,18.83409423840713,18.834037645024968 
 01/25  00:19:00,18.834037645024968,20.4,19.713012255442558,18.855540399601457,13.0,40.86752694823309,-1.2455130276186489,18.811991327449907,18.81192815061296,6.6,0.6658340648749601,-14.42733664523496,18.855540399601457,19.713012255442558,6.6,-0.6494175926172694,1.2538204617815295,20.4,18.834038017948264,18.833981426908829 
 01/25  00:20:00,18.833981426908829,20.4,19.713010591280605,18.855485523534253,13.0,40.867625945899359,-1.2455906280341638,18.81193378966356,18.811870614864064,6.6,0.6658739210267073,-14.426871609497875,18.855485523534253,19.713010591280605,6.6,-0.6494581246424144,1.2538977173405844,20.400000000000003,18.833981799804744,18.833925211107933 
 01/25  00:21:00,18.833925211107933,20.4,19.7130089272047,18.855430649728146,13.0,40.86772493844688,-1.2456682252768879,18.81187625424577,18.811813081483519,6.6,0.6659137755682389,-14.426406621280768,18.855430649728146,19.7130089272047,6.6,-0.6494986550322359,1.253974969740797,20.400000000000003,18.833925583976474,18.833868997622188 
