Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.39477661643002,20.794791539671807,20.812402131016265 
 01/25  00:02:00,20.4,20.399945130798704,20.812013073363795,20.812160643961638 
 01/25  00:03:00,20.4,20.399999847994914,20.81216001897082,20.811883075001178 
 01/25  00:04:00,20.4,20.39999999986417,20.81188327908215,20.811629351375268 
 01/25  00:05:00,20.4,20.39999999999989,20.81162950852842,20.81142530938112 
 01/25  00:06:00,20.4,20.4,20.81142542796315,20.811255600658578 
 01/25  00:07:00,20.4,20.4,20.811255694096617,20.81111749787673 
 01/25  00:08:00,20.4,20.399999999999996,20.811117570257176,20.81099564800638 
 01/25  00:09:00,20.4,20.4,20.810995709109286,20.810894870343117 
 01/25  00:10:00,20.4,20.400000000000003,20.81089491908549,20.81081483285208 
 01/25  00:11:00,20.4,20.4,20.810814870217006,20.810754091634157 
 01/25  00:12:00,20.4,20.399999999999996,20.81075411902633,20.81071171051958 
 01/25  00:13:00,20.4,20.4,20.810711729013485,20.81068734299244 
 01/25  00:14:00,20.4,20.4,20.81068735329924,20.810680848221794 
 01/25  00:15:00,20.4,20.4,20.810680850890294,20.810691979463127 
 01/25  00:16:00,20.4,20.4,20.81069197502674,20.81072026626062 
 01/25  00:17:00,20.4,20.399999999999996,20.81072025528859,20.810764953106845 
 01/25  00:18:00,20.4,20.400000000000003,20.81076493622678,20.81082503859002 
 01/25  00:19:00,20.4,20.4,20.810825016469985,20.8108993396089 
 01/25  00:20:00,20.4,20.399999999999996,20.810899312932116,20.810986553291604 
 01/25  00:21:00,20.4,20.4,20.8109865227345,20.811085311238874 
 01/25  00:22:00,20.4,20.400000000000003,20.811085277453829,20.811194226587465 
 01/25  00:23:00,20.4,20.399999999999996,20.81119419018961,20.81131194672224 
 01/25  00:24:00,20.4,20.4,20.81131190827555,20.81143721020567 
 01/25  00:25:00,20.4,20.4,20.811437170208973,20.811568694549888 
 01/25  00:26:00,20.4,20.4,20.81156865349052,20.8117050897986 
 01/25  00:27:00,20.4,20.4,20.811705047909624,20.81183734528205 
 01/25  00:28:00,20.4,20.4,20.811837305666555,20.811972679867919 
 01/25  00:29:00,20.4,20.4,20.811972640275358,20.812112227942099 
 01/25  00:30:00,20.4,20.399999999999996,20.812112187690027,20.812258098143304 
 01/25  00:31:00,20.4,20.4,20.81225805703616,20.81240938181386 
 01/25  00:32:00,20.4,20.399999999999996,20.812409339926245,20.812553222656253 
 01/25  00:33:00,20.4,20.4,20.8125531838046,20.812694749868528 
 01/25  00:34:00,20.4,20.4,20.812694712208807,20.812838777687433 
 01/25  00:35:00,20.4,20.4,20.812838740243536,20.812985495100386 
 01/25  00:36:00,20.4,20.4,20.812985457619296,20.81312288842451 
 01/25  00:37:00,20.4,20.4,20.8131228541722,20.813256143070036 
 01/25  00:38:00,20.4,20.4,20.81325611032872,20.813390549657695 
 01/25  00:39:00,20.4,20.4,20.81339051717236,20.81351864999812 
 01/25  00:40:00,20.4,20.4,20.813518619837823,20.813644357912268 
 01/25  00:41:00,20.4,20.400000000000003,20.813644328755268,20.813771373207176 
 01/25  00:42:00,20.4,20.399999999999996,20.813771344229154,20.813891494965593 
 01/25  00:43:00,20.4,20.400000000000003,20.813891468002337,20.814011766278534 
 01/25  00:44:00,20.4,20.399999999999996,20.814011739777265,20.81412559747262 
 01/25  00:45:00,20.4,20.399999999999996,20.814125572818914,20.814239951730256 
 01/25  00:46:00,20.4,20.4,20.814239927429857,20.814347942183809 
 01/25  00:47:00,20.4,20.4,20.814347919631904,20.81445632591169 
 01/25  00:48:00,20.4,20.4,20.814456303706394,20.814558247782974 
 01/25  00:49:00,20.4,20.4,20.814558227261704,20.814660469075514 
 01/25  00:50:00,20.4,20.4,20.814660448883747,20.814756237093229 
 01/25  00:51:00,20.4,20.4,20.81475621850084,20.814852335601385 
 01/25  00:52:00,20.4,20.4,20.814852317297228,20.81494208857506 
 01/25  00:53:00,20.4,20.400000000000003,20.8149420717709,20.815032258759226 
 01/25  00:54:00,20.4,20.4,20.81503224219457,20.815116220519099 
 01/25  00:55:00,20.4,20.399999999999996,20.815116205355669,20.815200705097046 
 01/25  00:56:00,20.4,20.4,20.815200690124909,20.815279132647278 
 01/25  00:57:00,20.4,20.4,20.815279118981374,20.81535820021304 
 01/25  00:58:00,20.4,20.4,20.81535818669227,20.81543137049168 
 01/25  00:59:00,20.4,20.4,20.81543135818696,20.81550530364107 
 01/25  01:00:00,20.4,20.4,20.815505291438407,20.815573502032327 
 01/25  01:01:00,20.4,20.399999999999996,20.815573490961098,20.815642587009806 
 01/25  01:02:00,20.4,20.400000000000003,20.81564257600126,20.815706098610254 
 01/25  01:03:00,20.4,20.4,20.815706088654367,20.815770618199946 
 01/25  01:04:00,20.4,20.400000000000003,20.81577060827131,20.815829722114484 
 01/25  01:05:00,20.4,20.4,20.815829713165589,20.815889951095984 
 01/25  01:06:00,20.4,20.4,20.815889942142819,20.815944916849604 
 01/25  01:07:00,20.4,20.4,20.815944908808903,20.81600111920606 
 01/25  01:08:00,20.4,20.399999999999996,20.81600111113334,20.81605220461706 
 01/25  01:09:00,20.4,20.400000000000003,20.816052197394879,20.81610463196246 
 01/25  01:10:00,20.4,20.4,20.81610462468401,20.816152082027288 
 01/25  01:11:00,20.4,20.4,20.816152075542449,20.816200972866495 
 01/25  01:12:00,20.4,20.400000000000003,20.816200966304373,20.816245019324403 
 01/25  01:13:00,20.4,20.4,20.81624501350358,20.816290598863725 
 01/25  01:14:00,20.4,20.4,20.816290592947536,20.816331460204073 
 01/25  01:15:00,20.4,20.4,20.816331454981126,20.81637394051483 
 01/25  01:16:00,20.4,20.400000000000003,20.816373935181077,20.816411822263058 
 01/25  01:17:00,20.4,20.399999999999996,20.816411817578368,20.816451402662687 
 01/25  01:18:00,20.4,20.400000000000003,20.816451397854125,20.81648649783406 
 01/25  01:19:00,20.4,20.4,20.81648649363394,20.816523365394457 
 01/25  01:20:00,20.4,20.4,20.816523361059504,20.816555855042119 
 01/25  01:21:00,20.4,20.4,20.816555851278225,20.81659018516577 
 01/25  01:22:00,20.4,20.4,20.816590181257959,20.81662023897537 
 01/25  01:23:00,20.4,20.4,20.816620235604188,20.816652196000957 
 01/25  01:24:00,20.4,20.4,20.816652192478427,20.816679972901139 
 01/25  01:25:00,20.4,20.4,20.816679969883486,20.816709710714389 
 01/25  01:26:00,20.4,20.400000000000003,20.816709707539439,20.81673535948424 
 01/25  01:27:00,20.4,20.4,20.816735356784866,20.816763022119188 
 01/25  01:28:00,20.4,20.4,20.816763019257846,20.816786681981044 
 01/25  01:29:00,20.4,20.4,20.816786679568204,20.816812404202797 
 01/25  01:30:00,20.4,20.399999999999996,20.816812401624476,20.816834205393677 
 01/25  01:31:00,20.4,20.4,20.816834203238814,20.816858113257724 
 01/25  01:32:00,20.4,20.4,20.816858110934839,20.816878177575814 
 01/25  01:33:00,20.4,20.4,20.81687817565321,20.816900388961387 
 01/25  01:34:00,20.4,20.400000000000003,20.8169003868691,20.816918830286018 
 01/25  01:35:00,20.4,20.4,20.81691882857252,20.816939451419495 
 01/25  01:36:00,20.4,20.4,20.81693944953578,20.81695636339217 
 01/25  01:37:00,20.4,20.400000000000003,20.81695636186808,20.81697548225856 
 01/25  01:38:00,20.4,20.4,20.816975480564556,20.81699095948291 
 01/25  01:39:00,20.4,20.4,20.816990958129819,20.817008678215119 
 01/25  01:40:00,20.4,20.400000000000003,20.817008676692006,20.81702282260368 
 01/25  01:41:00,20.4,20.399999999999996,20.81702282140382,20.817039238790458 
 01/25  01:42:00,20.4,20.399999999999996,20.817039237421129,20.8170521426077 
 01/25  01:43:00,20.4,20.4,20.817052141545355,20.817067344017528 
 01/25  01:44:00,20.4,20.399999999999996,20.817067342786847,20.81707909108242 
 01/25  01:45:00,20.4,20.400000000000003,20.817079090143637,20.81709315827961 
 01/25  01:46:00,20.4,20.4,20.817093157174047,20.81710382598935 
 01/25  01:47:00,20.4,20.4,20.817103825161625,20.817116833589127 
 01/25  01:48:00,20.4,20.4,20.817116832596544,20.81712649372945 
