Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.4,20.402755741315106,20.40275193141134 
 01/25  00:02:00,20.4,20.399999999999996,20.40275193143364,20.402748126895735 
 01/25  00:03:00,20.4,20.399999999999996,20.40274812691797,20.40274432773819 
 01/25  00:04:00,20.4,20.399999999999996,20.402744327760368,20.40274053393099 
 01/25  00:05:00,20.4,20.399999999999996,20.402740533953105,20.402736745466446 
 01/25  00:06:00,20.4,20.4,20.4027367454885,20.402732962336864 
 01/25  00:07:00,20.4,20.399999999999996,20.40273296235885,20.402729184534576 
 01/25  00:08:00,20.4,20.399999999999996,20.402729184556504,20.40272541205193 
 01/25  00:09:00,20.4,20.399999999999996,20.402725412073793,20.402721644881287 
 01/25  00:10:00,20.4,20.400000000000003,20.402721644903087,20.40271788301502 
 01/25  00:11:00,20.4,20.4,20.402717883036766,20.40271412644551 
 01/25  00:12:00,20.4,20.4,20.402714126467193,20.402710375165147 
 01/25  00:13:00,20.4,20.399999999999996,20.40271037518677,20.402706629166326 
 01/25  00:14:00,20.4,20.39999999999999,20.402706629187894,20.40270288844145 
 01/25  00:15:00,20.4,20.4,20.402702888462956,20.402699152982949 
 01/25  00:16:00,20.4,20.4,20.402699153004389,20.40269542278325 
 01/25  00:17:00,20.4,20.399999999999996,20.402695422804638,20.402691697834788 
 01/25  00:18:00,20.4,20.399999999999996,20.40269169785611,20.402687978130005 
 01/25  00:19:00,20.4,20.399999999999996,20.402687978151268,20.402684263661354 
 01/25  00:20:00,20.4,20.399999999999996,20.40268426368256,20.402680554421307 
 01/25  00:21:00,20.4,20.399999999999996,20.40268055444245,20.402676850402338 
 01/25  00:22:00,20.4,20.399999999999996,20.402676850423423,20.40267315159693 
 01/25  00:23:00,20.4,20.399999999999996,20.40267315161795,20.402669457997577 
 01/25  00:24:00,20.4,20.4,20.402669458018548,20.40266576959678 
 01/25  00:25:00,20.4,20.4,20.402665769617689,20.402662086387055 
 01/25  00:26:00,20.4,20.4,20.402662086407909,20.402658408360929 
 01/25  00:27:00,20.4,20.399999999999996,20.40265840838172,20.402654735510955 
 01/25  00:28:00,20.4,20.399999999999996,20.402654735531688,20.402651067829689 
 01/25  00:29:00,20.4,20.4,20.402651067850365,20.4026474053097 
 01/25  00:30:00,20.4,20.399999999999996,20.40264740533032,20.40264374794358 
 01/25  00:31:00,20.4,20.39999999999999,20.40264374796414,20.40264009572392 
 01/25  00:32:00,20.4,20.4,20.40264009574443,20.40263644864333 
 01/25  00:33:00,20.4,20.4,20.40263644866378,20.402632806694439 
 01/25  00:34:00,20.4,20.4,20.402632806714828,20.402629169869873 
 01/25  00:35:00,20.4,20.399999999999996,20.402629169890206,20.402625538162284 
 01/25  00:36:00,20.4,20.4,20.40262553818256,20.402621911564326 
 01/25  00:37:00,20.4,20.4,20.402621911584544,20.402618290068668 
 01/25  00:38:00,20.4,20.4,20.40261829008883,20.402614673667988 
 01/25  00:39:00,20.4,20.4,20.402614673688097,20.402611062354976 
 01/25  00:40:00,20.4,20.4,20.402611062375024,20.402607456122327 
 01/25  00:41:00,20.4,20.399999999999996,20.402607456142325,20.40260385496276 
 01/25  00:42:00,20.4,20.39999999999999,20.402603854982706,20.402600258868984 
 01/25  00:43:00,20.4,20.4,20.402600258888869,20.402596667833728 
 01/25  00:44:00,20.4,20.4,20.402596667853556,20.40259308184973 
 01/25  00:45:00,20.4,20.399999999999996,20.4025930818695,20.402589500909725 
 01/25  00:46:00,20.4,20.4,20.402589500929439,20.402585925006457 
 01/25  00:47:00,20.4,20.399999999999996,20.40258592502612,20.402582354132695 
 01/25  00:48:00,20.4,20.4,20.402582354152299,20.4025787882812 
 01/25  00:49:00,20.4,20.399999999999996,20.40257878830075,20.40257522744474 
 01/25  00:50:00,20.4,20.39999999999999,20.402575227464234,20.4025716716161 
 01/25  00:51:00,20.4,20.399999999999996,20.40257167163555,20.402568120788084 
 01/25  00:52:00,20.4,20.399999999999996,20.40256812080747,20.40256457495349 
 01/25  00:53:00,20.4,20.4,20.402564574972826,20.402561034105149 
 01/25  00:54:00,20.4,20.399999999999996,20.40256103412443,20.402557498235895 
 01/25  00:55:00,20.4,20.4,20.402557498255125,20.40255396733858 
 01/25  00:56:00,20.4,20.4,20.402553967357755,20.40255044140607 
 01/25  00:57:00,20.4,20.4,20.402550441425189,20.402546920431239 
 01/25  00:58:00,20.4,20.399999999999996,20.402546920450303,20.402543404406978 
 01/25  00:59:00,20.4,20.4,20.402543404425996,20.402539893326194 
 01/25  01:00:00,20.4,20.4,20.402539893345155,20.40253638718181 
 01/25  01:01:00,20.4,20.4,20.40253638720072,20.402532885966776 
 01/25  01:02:00,20.4,20.399999999999996,20.402532885985634,20.402529389674024 
 01/25  01:03:00,20.4,20.4,20.402529389692828,20.402525898296508 
 01/25  01:04:00,20.4,20.399999999999996,20.402525898315255,20.40252241182719 
 01/25  01:05:00,20.4,20.399999999999996,20.402522411845884,20.40251893025902 
 01/25  01:06:00,20.4,20.399999999999996,20.402518930277667,20.40251545358497 
 01/25  01:07:00,20.4,20.400000000000003,20.402515453603564,20.40251198179801 
 01/25  01:08:00,20.4,20.399999999999996,20.402511981816553,20.402508514891115 
 01/25  01:09:00,20.4,20.399999999999996,20.402508514909607,20.402505052857295 
 01/25  01:10:00,20.4,20.4,20.40250505287573,20.402501595689559 
 01/25  01:11:00,20.4,20.399999999999996,20.402501595707947,20.402498143380929 
 01/25  01:12:00,20.4,20.399999999999996,20.402498143399265,20.40249469592444 
 01/25  01:13:00,20.4,20.4,20.402494695942733,20.40249125331312 
 01/25  01:14:00,20.4,20.4,20.40249125333136,20.402487815540018 
 01/25  01:15:00,20.4,20.4,20.4024878155582,20.402484382598169 
 01/25  01:16:00,20.4,20.399999999999996,20.4024843826163,20.402480954480628 
 01/25  01:17:00,20.4,20.4,20.402480954498708,20.40247753118046 
 01/25  01:18:00,20.4,20.4,20.402477531198494,20.40247411269074 
 01/25  01:19:00,20.4,20.4,20.402474112708725,20.402470699004554 
 01/25  01:20:00,20.4,20.399999999999996,20.402470699022488,20.40246729011501 
 01/25  01:21:00,20.4,20.4,20.402467290132895,20.402463886015228 
 01/25  01:22:00,20.4,20.4,20.40246388603306,20.40246048669835 
 01/25  01:23:00,20.4,20.399999999999996,20.40246048671613,20.402457092157524 
 01/25  01:24:00,20.4,20.399999999999996,20.402457092175259,20.402453702385903 
 01/25  01:25:00,20.4,20.399999999999996,20.402453702403585,20.402450317376656 
 01/25  01:26:00,20.4,20.4,20.40245031739429,20.402446937122943 
 01/25  01:27:00,20.4,20.4,20.402446937140526,20.402443561617937 
 01/25  01:28:00,20.4,20.399999999999996,20.402443561635474,20.40244019085482 
 01/25  01:29:00,20.4,20.399999999999996,20.40244019087231,20.402436824826777 
 01/25  01:30:00,20.4,20.4,20.402436824844214,20.402433463527005 
 01/25  01:31:00,20.4,20.399999999999996,20.402433463544396,20.402430106948719 
 01/25  01:32:00,20.4,20.399999999999996,20.402430106966059,20.402426755085146 
 01/25  01:33:00,20.4,20.4,20.40242675510244,20.402423407929523 
 01/25  01:34:00,20.4,20.4,20.402423407946768,20.40242006547511 
 01/25  01:35:00,20.4,20.399999999999996,20.402420065492306,20.402416727715168 
 01/25  01:36:00,20.4,20.4,20.402416727732317,20.402413394642975 
 01/25  01:37:00,20.4,20.4,20.402413394660074,20.402410066251809 
 01/25  01:38:00,20.4,20.4,20.40241006626886,20.402406742534983 
 01/25  01:39:00,20.4,20.4,20.402406742551987,20.4024034234858 
 01/25  01:40:00,20.4,20.399999999999996,20.40240342350276,20.40240010909758 
 01/25  01:41:00,20.4,20.399999999999996,20.402400109114489,20.402396799363655 
 01/25  01:42:00,20.4,20.399999999999996,20.40239679938052,20.402393494277374 
 01/25  01:43:00,20.4,20.4,20.402393494294189,20.402390193832085 
 01/25  01:44:00,20.4,20.399999999999996,20.402390193848857,20.402386898021147 
 01/25  01:45:00,20.4,20.399999999999996,20.40238689803787,20.402383606837924 
 01/25  01:46:00,20.4,20.399999999999996,20.4023836068546,20.402380320275783 
 01/25  01:47:00,20.4,20.399999999999996,20.40238032029241,20.402377038328113 
 01/25  01:48:00,20.4,20.4,20.4023770383447,20.402373760988298 
 01/25  01:49:00,20.4,20.4,20.40237376100483,20.40237048824974 
