Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.40129981893964 
 01/25  00:02:00,20.4,20.401299818939603 
 01/25  00:03:00,20.4,20.401299818939589 
 01/25  00:04:00,20.4,20.401299818939614 
 01/25  00:05:00,20.4,20.401299818939685 
 01/25  00:06:00,20.4,20.401299818939813 
 01/25  00:07:00,20.4,20.40129981894 
 01/25  00:08:00,20.4,20.401299818940254 
 01/25  00:09:00,20.4,20.401299818940573 
 01/25  00:10:00,20.4,20.401299818940957 
 01/25  00:11:00,20.4,20.40129981894141 
 01/25  00:12:00,20.4,20.401299818941927 
 01/25  00:13:00,20.4,20.401299818942495 
 01/25  00:14:00,20.4,20.401299818943106 
 01/25  00:15:00,20.4,20.401299818943735 
 01/25  00:16:00,20.4,20.40129981894436 
 01/25  00:17:00,20.4,20.401299818944957 
 01/25  00:18:00,20.4,20.401299818945508 
 01/25  00:19:00,20.4,20.401299818945998 
 01/25  00:20:00,20.4,20.401299818946407 
 01/25  00:21:00,20.4,20.401299818946723 
 01/25  00:22:00,20.4,20.401299818946936 
 01/25  00:23:00,20.4,20.401299818947039 
 01/25  00:24:00,20.4,20.401299818947039 
 01/25  00:25:00,20.4,20.401299818946943 
 01/25  00:26:00,20.4,20.40129981894677 
 01/25  00:27:00,20.4,20.401299818946549 
 01/25  00:28:00,20.4,20.4012998189463 
 01/25  00:29:00,20.4,20.401299818946055 
 01/25  00:30:00,20.4,20.401299818945838 
 01/25  00:31:00,20.4,20.40129981894567 
 01/25  00:32:00,20.4,20.40129981894557 
 01/25  00:33:00,20.4,20.401299818945558 
 01/25  00:34:00,20.4,20.401299818945643 
 01/25  00:35:00,20.4,20.401299818945835 
 01/25  00:36:00,20.4,20.40129981894614 
 01/25  00:37:00,20.4,20.401299818946556 
 01/25  00:38:00,20.4,20.401299818947075 
 01/25  00:39:00,20.4,20.401299818947697 
