Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.399999999999996,20.41090751129925,20.410897993500116 
 01/25  00:02:00,20.4,20.4,20.410897993586987,20.410888484222605 
 01/25  00:03:00,20.4,20.4,20.41088848430932,20.41087898337208 
 01/25  00:04:00,20.4,20.400000000000003,20.410878983458646,20.410869490940934 
 01/25  00:05:00,20.4,20.4,20.410869491027346,20.410860006921568 
 01/25  00:06:00,20.4,20.400000000000003,20.410860007007828,20.410850531306396 
 01/25  00:07:00,20.4,20.4,20.41085053139251,20.410841064087835 
 01/25  00:08:00,20.4,20.4,20.41084106417379,20.410831605258318 
 01/25  00:09:00,20.4,20.4,20.41083160534412,20.41082215481028 
 01/25  00:10:00,20.4,20.4,20.41082215489594,20.41081271273616 
 01/25  00:11:00,20.4,20.400000000000003,20.41081271282166,20.410803279028405 
 01/25  00:12:00,20.4,20.399999999999996,20.410803279113755,20.410793853679466 
 01/25  00:13:00,20.4,20.4,20.410793853764667,20.410784436681799 
 01/25  00:14:00,20.4,20.4,20.41078443676685,20.410775028027879 
 01/25  00:15:00,20.4,20.4,20.41077502811278,20.410765627710164 
 01/25  00:16:00,20.4,20.4,20.410765627794917,20.41075623572113 
 01/25  00:17:00,20.4,20.4,20.410756235805736,20.410746852053266 
 01/25  00:18:00,20.4,20.400000000000003,20.410746852137718,20.410737476699056 
 01/25  00:19:00,20.4,20.400000000000003,20.41073747678336,20.410728109651005 
 01/25  00:20:00,20.4,20.4,20.410728109735154,20.410718750901617 
 01/25  00:21:00,20.4,20.4,20.41071875098562,20.410709400443407 
 01/25  00:22:00,20.4,20.400000000000003,20.410709400527265,20.410700058268906 
 01/25  00:23:00,20.4,20.4,20.410700058352615,20.410690724370654 
 01/25  00:24:00,20.4,20.4,20.410690724454214,20.41068139874119 
 01/25  00:25:00,20.4,20.4,20.410681398824605,20.41067208137307 
 01/25  00:26:00,20.4,20.4,20.410672081456338,20.410662772258858 
 01/25  00:27:00,20.4,20.4,20.41066277234198,20.4106534713911 
 01/25  00:28:00,20.4,20.400000000000003,20.41065347147407,20.41064417876238 
 01/25  00:29:00,20.4,20.4,20.410644178845208,20.410634894365264 
 01/25  00:30:00,20.4,20.4,20.41063489444794,20.41062561819233 
 01/25  00:31:00,20.4,20.400000000000003,20.410625618274869,20.410616350236166 
 01/25  00:32:00,20.4,20.4,20.410616350318553,20.410607090489348 
 01/25  00:33:00,20.4,20.400000000000003,20.410607090571586,20.410597838944484 
 01/25  00:34:00,20.4,20.4,20.410597839026587,20.410588595594186 
 01/25  00:35:00,20.4,20.400000000000003,20.41058859567614,20.41057936043106 
 01/25  00:36:00,20.4,20.4,20.41057936051287,20.41057013344773 
 01/25  00:37:00,20.4,20.400000000000003,20.410570133529398,20.41056091463682 
 01/25  00:38:00,20.4,20.400000000000003,20.41056091471834,20.410551703990977 
