Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.40013590244066,20.4,20.40000339549405,20.400130921218133,13.0,-0.00020199115012144373,0.00020182150112782435,20.400142617047114,20.40014231814002,2.0,-0.00006145207825852596,-0.0013677988559938968,20.400130921218133,20.40000339549405,6.6,0.00015044089029527183,-0.00015698209260267502,20.4,20.400135902440696,20.400135606318118 
 01/25  00:02:00,20.400135606318118,20.4,20.400003388095457,20.400130635949048,13.0,-0.0002015510225771777,0.00020138174218345737,20.400142306293835,20.400142008038068,2.0,-0.00006131817776508797,-0.0013648183903424072,20.400130635949048,20.400003388095457,6.6,0.00015011309848073323,-0.0001566400506571881,20.399999999999996,20.40013560631816,20.40013531084077 
 01/25  00:03:00,20.40013531084077,20.4,20.40000338071294,20.400130351301454,13.0,-0.00020111185157509225,0.00020094293896841007,20.400141996217696,20.40014169861178,2.0,-0.00006118456960894037,-0.001361844666884281,20.400130351301454,20.40000338071294,6.6,0.00014978602266332925,-0.00015629875521062784,20.4,20.400135310840807,20.400135016007213 
 01/25  00:04:00,20.400135016007213,20.4,20.400003373346477,20.400130067274035,13.0,-0.00020067363521309288,0.0002005050897919318,20.400141686817166,20.400141389859738,2.0,-0.00006105125268459233,-0.0013588771861977878,20.400130067274035,20.400003373346477,6.6,0.00014945965994602375,-0.00015595820307657957,20.4,20.400135016007245,20.400134721816035 
 01/25  00:05:00,20.400134721816035,20.4,20.400003365996036,20.40012978386547,13.0,-0.00020023637222311663,0.00020006819341847402,20.400141378090824,20.400141081780423,2.0,-0.00006091822686198612,-0.001355916397762485,20.40012978386547,20.400003365996036,6.6,0.00014913400775367334,-0.00015561839106862862,20.399999999999996,20.40013472181607,20.400134428265845 
 01/25  00:06:00,20.400134428265845,20.4,20.400003358661594,20.400129501074468,13.0,-0.00019980006112575664,0.0001996322489376325,20.400141070037149,20.400140774372408,2.0,-0.000060785490970602049,-0.0013529618687462063,20.400129501074468,20.400003358661594,6.6,0.00014880906308194423,-0.0001552793170408222,20.4,20.400134428265888,20.400134135355246 
 01/25  00:07:00,20.400134135355246,20.4,20.40000335134315,20.400129218899694,13.0,-0.00019936470128698145,0.00019919725475619997,20.40014076265472,20.400140467634189,2.0,-0.00006065304478283907,-0.001350013948744163,20.400129218899694,20.40000335134315,6.6,0.00014848482399947894,-0.0001549409785870921,20.4,20.40013413535528,20.400133843082864 
 01/25  00:08:00,20.400133843082864,20.4,20.40000334404066,20.400128937339827,13.0,-0.0001989302908046966,0.00019876320905336795,20.400140455942034,20.400140161564339,2.0,-0.0000605208871281775,-0.0013470723381033168,20.400128937339827,20.40000334404066,6.6,0.00014816128889681292,-0.00015460337427680314,20.4,20.400133843082899,20.40013355144732 
 01/25  00:09:00,20.40013355144732,20.4,20.40000333675408,20.400128656393528,13.0,-0.00019849682672008837,0.00019833010926049608,20.40014014989766,20.400139856161379,2.0,-0.00006038901751890081,-0.001344137219944969,20.400128656393528,20.40000333675408,6.6,0.00014783845659367212,-0.00015426650323206557,20.399999999999996,20.400133551447359,20.40013326044724 
 01/25  00:10:00,20.40013326044724,20.4,20.400003329483377,20.40012837605946,13.0,-0.00019806430734240618,0.00019789795306905943,20.400139844520124,20.400139551423874,2.0,-0.000060257435012090367,-0.0013412084444426002,20.40012837605946,20.400003329483377,6.6,0.0001475163260170802,-0.00015393036493264843,20.399999999999996,20.40013326044728,20.400132970081246 
 01/25  00:11:00,20.400132970081246,20.4,20.400003322228519,20.400128096336265,13.0,-0.00019763273034686788,0.00019746673872327844,20.40013953980798,20.400139247350358,2.0,-0.000060126139087515196,-0.0013382860948331656,20.400128096336265,20.400003322228519,6.6,0.00014719489641595371,-0.00015359495889083518,20.4,20.40013297008128,20.400132680347949 
 01/25  00:12:00,20.400132680347949,20.4,20.400003314989477,20.40012781722257,13.0,-0.0001972020940427228,0.00019703646436983034,20.400139235759775,20.4001389439394,2.0,-0.00005999512902985771,-0.0013353700212901459,20.40012781722257,20.400003314989477,6.6,0.00014687416736110204,-0.00015326028400113498,20.4,20.400132680347985,20.400132391245969 
 01/25  00:13:00,20.400132391245969,20.4,20.400003307766224,20.400127538717059,13.0,-0.00019677239716190797,0.00019660712854556548,20.400138932374074,20.400138641189544,2.0,-0.00005986440441643027,-0.0013324604069348426,20.400127538717059,20.400003307766224,6.6,0.00014655413713576305,-0.00015292633912554265,20.4,20.400132391246005,20.400132102773936 
 01/25  00:14:00,20.400132102773936,20.4,20.400003300558728,20.400127260818374,13.0,-0.00019634363759098503,0.00019617872955973324,20.400138629649417,20.400138339099365,2.0,-0.000059733964401857528,-0.0013295570353511722,20.400127260818374,20.400003300558728,6.6,0.0001462348050961509,-0.0001525931227033652,20.4,20.40013210277397,20.400131814930466 
 01/25  00:15:00,20.400131814930466,20.4,20.400003293366959,20.400126983525185,13.0,-0.00019591581363920339,0.00019575126536392417,20.400138327584384,20.400138037667408,2.0,-0.00005960380866099513,-0.001326660089660436,20.400126983525185,20.400003293366959,6.6,0.00014591616974009866,-0.00015226063369414076,20.4,20.4001318149305,20.40013152771419 
 01/25  00:16:00,20.40013152771419,20.4,20.40000328619088,20.40012670683615,13.0,-0.0001954889231931247,0.000195324734072301,20.400138026177513,20.40013773689226,2.0,-0.00005947393631595333,-0.0013237693201517689,20.40012670683615,20.40000328619088,6.6,0.0001455982302092252,-0.00015192887079729187,20.4,20.400131527714227,20.400131241123736 
 01/25  00:17:00,20.400131241123736,20.4,20.40000327903046,20.400126430749955,13.0,-0.00019506296413931068,0.00019489913314873773,20.400137725427404,20.40013743677246,2.0,-0.0000593443471716455,-0.0013208850098308178,20.400126430749955,20.40000327903046,6.6,0.00014528098478676837,-0.0001515978328748133,20.399999999999996,20.40013124112377,20.40013095515773 
 01/25  00:18:00,20.40013095515773,20.4,20.400003271885646,20.40012615526526,13.0,-0.00019463793351894764,0.0001944744593092764,20.400137425332586,20.40013713730662,2.0,-0.00005921504025263858,-0.0013180068257497625,20.40012615526526,20.400003271885646,6.6,0.00014496443250704938,-0.0001512675179758389,20.399999999999996,20.40013095515777,20.400130669814808 
 01/25  00:19:00,20.400130669814808,20.4,20.40000326475637,20.400125880380775,13.0,-0.0001942138273165028,0.0001940507089773291,20.40013712589167,20.400136838493276,2.0,-0.00005908601546138926,-0.0013151350509142506,20.400125880380775,20.40000326475637,6.6,0.00014464857090222265,-0.000150937923434185,20.4,20.400130669814844,20.400130385093609 
 01/25  00:20:00,20.400130385093609,20.4,20.4000032576426,20.40012560609523,13.0,-0.00019379064299585022,0.0001936278794867121,20.4001368271032,20.400136540331038,2.0,-0.000058957271789950037,-0.0013122694189660254,20.40012560609523,20.4000032576426,6.6,0.0001443333973971448,-0.00015060904645361006,20.4,20.400130385093644,20.40013010099278 
 01/25  00:21:00,20.40013010099278,20.4,20.400003250544289,20.40012533240735,13.0,-0.0001933683786548954,0.00019320596904913144,20.400136528965779,20.400136242818456,2.0,-0.00005882880888066212,-0.0013094101463211703,20.40012533240735,20.400003250544289,6.6,0.0001440189097385655,-0.00015028088430290153,20.399999999999996,20.40013010099281,20.40012981751096 
 01/25  00:22:00,20.40012981751096,20.4,20.400003243461414,20.400125059315849,13.0,-0.0001929470328142315,0.00019278497642903855,20.400136231477963,20.40013594595414,2.0,-0.00005870062598569348,-0.001306556999916211,20.400125059315849,20.400003243461414,6.6,0.0001437051055659367,-0.0001499534347710778,20.4,20.400129817510999,20.400129534646824 
 01/25  00:23:00,20.400129534646824,20.4,20.400003236393969,20.400124786819459,13.0,-0.0001925266044171394,0.00019236490068351485,20.400135934638358,20.400135649736659,2.0,-0.0000585727225197843,-0.0013037101795198398,20.400124786819459,20.400003236393969,6.6,0.0001433919829479009,-0.00014962669619990264,20.399999999999996,20.400129534646859,20.400129252399034 
 01/25  00:24:00,20.400129252399034,20.4,20.400003229341917,20.400124514916898,13.0,-0.0001921070921955561,0.00019194574057701172,20.40013563844553,20.400135354164616,2.0,-0.00005844509754001593,-0.0013008694687159735,20.400124514916898,20.400003229341917,6.6,0.00014307954048958888,-0.00014930066676856766,20.399999999999996,20.400129252399066,20.40012897076625 
 01/25  00:25:00,20.40012897076625,20.4,20.40000322230523,20.400124243606894,13.0,-0.00019168849382469942,0.00019152749393106205,20.400135342898087,20.40013505923659,2.0,-0.00005831775055867184,-0.001298035017331131,20.400124243606894,20.40000322230523,6.6,0.00014276777604504785,-0.00014897534462375006,20.4,20.400128970766283,20.40012868974715 
 01/25  00:26:00,20.40012868974715,20.4,20.400003215283886,20.400123972888179,13.0,-0.0001912708078251626,0.00019111015898988623,20.400135047994615,20.400134764951198,2.0,-0.000058190680795405577,-0.0012952066755387935,20.400123972888179,20.400003215283886,6.6,0.0001424566878975156,-0.0001486507280421847,20.4,20.400128689747189,20.400128409340394 
 01/25  00:27:00,20.400128409340394,20.4,20.40000320827786,20.40012370275946,13.0,-0.00019085403335157024,0.0001906937347130224,20.400134753733714,20.400134471307024,2.0,-0.000058063887664957298,-0.0012923845265759157,20.40012370275946,20.40000320827786,6.6,0.00014214627475942051,-0.00014832681559323645,20.399999999999996,20.400128409340426,20.400128129544667 
 01/25  00:28:00,20.400128129544667,20.4,20.400003201287129,20.40012343321946,13.0,-0.00019043816892451557,0.0001902782202550952,20.400134460113987,20.400134178302684,2.0,-0.00005793737041949499,-0.0012895685205003248,20.40012343321946,20.400003201287129,6.6,0.0001418365353431909,-0.00014800360646404442,20.399999999999996,20.4001281295447,20.400127850358648 
 01/25  00:29:00,20.400127850358648,20.4,20.400003194311677,20.400123164266888,13.0,-0.00019002321327593562,0.00018986361418546946,20.400134167134035,20.40013388593678,2.0,-0.00005781112834370106,-0.0012867586406646297,20.400123164266888,20.400003194311677,6.6,0.00014152746889774332,-0.00014768109964666108,20.399999999999996,20.40012785035868,20.40012757178101 
 01/25  00:30:00,20.40012757178101,20.4,20.40000318735148,20.40012289590044,13.0,-0.00018960916513776737,0.00018944991520356778,20.400133874792468,20.400133594207927,2.0,-0.00005768516085231568,-0.0012839548704214395,20.40012289590044,20.40000318735148,6.6,0.0001412190745646967,-0.00014735929468588437,20.399999999999996,20.40012757178104,20.40012729381042 
 01/25  00:31:00,20.40012729381042,20.4,20.400003180406509,20.400122628118806,13.0,-0.00018919602260791634,0.00018903712129349513,20.400133583087894,20.400133303114737,2.0,-0.00005755946742510787,-0.0012811571598285812,20.400122628118806,20.400003180406509,6.6,0.00014091135191486045,-0.00014703819148417096,20.4,20.400127293810454,20.400127016445564 
 01/25  00:32:00,20.400127016445564,20.4,20.40000317347673,20.400122360920667,13.0,-0.00018878378378428805,0.0001886252297890678,20.400133292018937,20.40013301265582,2.0,-0.000057434047509332238,-0.0012783656087704005,20.400122360920667,20.40000317347673,6.6,0.00014060430073363928,-0.00014671779004152085,20.399999999999996,20.400127016445596,20.400126739685115 
 01/25  00:33:00,20.400126739685115,20.4,20.400003166562088,20.400122094304704,13.0,-0.00018837244570806886,0.0001882142385118186,20.400133001584196,20.400132722829814,2.0,-0.00005730890038967119,-0.0012755800507729876,20.400122094304704,20.400003166562088,6.6,0.00014029792102103326,-0.0001463980899677608,20.399999999999996,20.400126739685147,20.400126463527746 
 01/25  00:34:00,20.400126463527746,20.4,20.400003159662565,20.400121828269634,13.0,-0.00018796200689985196,0.00018780414534830923,20.400132711782317,20.40013243363532,2.0,-0.000057184025838523679,-0.0012728006523102525,20.400121828269634,20.400003159662565,6.6,0.00013999221138217307,-0.0001460790898322557,20.4,20.400126463527778,20.400126187972128 
