Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE 2:Surface Inside Face Temperature [C](TimeStep),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,22.252869557318387,20.445535271854933,22.34 
 01/25  00:02:00,20.4,22.252869557318594,20.445535271854858,22.339999999999996 
 01/25  00:03:00,20.4,22.25286955731876,20.445535271854776,22.34 
 01/25  00:04:00,20.4,22.252869557318846,20.4455352718547,22.34 
 01/25  00:05:00,20.4,22.25286955731881,20.44553527185462,22.339999999999996 
 01/25  00:06:00,20.4,22.25286955731862,20.445535271854528,22.34 
 01/25  00:07:00,20.4,22.25286955731828,20.44553527185441,22.34 
 01/25  00:08:00,20.4,22.252869557317805,20.445535271854254,22.339999999999996 
 01/25  00:09:00,20.4,22.25286955731723,20.44553527185407,22.339999999999996 
 01/25  00:10:00,20.4,22.2528695573166,20.445535271853867,22.339999999999996 
 01/25  00:11:00,20.4,22.252869557315954,20.44553527185367,22.339999999999996 
 01/25  00:12:00,20.4,22.25286955731532,20.445535271853483,22.339999999999996 
 01/25  00:13:00,20.4,22.252869557314725,20.445535271853316,22.34 
 01/25  00:14:00,20.4,22.25286955731419,20.44553527185317,22.34 
 01/25  00:15:00,20.4,22.25286955731373,20.44553527185304,22.339999999999996 
 01/25  00:16:00,20.4,22.252869557313343,20.4455352718529,22.339999999999996 
 01/25  00:17:00,20.4,22.252869557313044,20.445535271852727,22.339999999999996 
 01/25  00:18:00,20.4,22.252869557312817,20.445535271852492,22.339999999999996 
 01/25  00:19:00,20.4,22.25286955731267,20.445535271852183,22.339999999999996 
 01/25  00:20:00,20.4,22.252869557312607,20.445535271851814,22.339999999999996 
 01/25  00:21:00,20.4,22.252869557312632,20.445535271851398,22.339999999999996 
 01/25  00:22:00,20.4,22.252869557312735,20.445535271850968,22.339999999999996 
 01/25  00:23:00,20.4,22.25286955731291,20.44553527185055,22.339999999999996 
 01/25  00:24:00,20.4,22.25286955731314,20.44553527185018,22.339999999999996 
 01/25  00:25:00,20.4,22.25286955731342,20.445535271849877,22.34 
 01/25  00:26:00,20.4,22.25286955731372,20.445535271849643,22.339999999999996 
 01/25  00:27:00,20.4,22.25286955731399,20.445535271849458,22.339999999999996 
